id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error,predicted_octane_class,predicted_stability_class
324,1-C14ene,Linear alkenes,Alkenes,Diesel,14,196.364,713623371385.9878,15,3703505,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,82.96738911344735,1.596364,WallProximity.SAFE,True,0.0,0.0,0.7920916115962445,0.1918907423567729,True,,Medium (RON ~50-70),Excellent (>1 year)
330,1-C16ene,Linear alkenes,Alkenes,Diesel,16,224.416,667533539730.2262,17,4227858,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,108.36556945429857,1.824416,WallProximity.SAFE,True,0.0,0.0,0.7253176803279657,0.2034891317523102,True,,Medium (RON ~50-70),Excellent (>1 year)
374,Naphthalene,Naphthalenes,Aromatics,Diesel,10,128.164,883317782169.9384,14,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,38.2694233662976,1.128164,WallProximity.CAUTION,True,0.0,0.0,0.8659738853879211,0.1582851918437676,True,,High (RON ~90-120),Excellent (>1 year)
375,C1-Naphthalene,Naphthalenes,Aromatics,Diesel,11,142.19,838620496922.0559,15,2921161,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,46.74882621407487,1.24219,WallProximity.CAUTION,True,0.0,0.0,0.8823321333761461,0.1669770710927255,True,,High (RON ~90-120),Excellent (>1 year)
376,C2-Naphthalene,Naphthalenes,Aromatics,Diesel,12,156.216,800087054207.5043,16,3183369,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,56.074835073213855,1.3562160000000003,WallProximity.CAUTION,True,0.0,0.0,0.8871695641189951,0.1748768004913971,True,,High (RON ~90-120),Excellent (>1 year)
377,C3-Naphthalene,Naphthalenes,Aromatics,Diesel,13,170.242,766419672374.1737,17,3441417,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,66.24744994371451,1.470242,WallProximity.SAFE,True,0.0,0.0,0.8807252319144165,0.1821169165677705,True,,High (RON ~90-120),Excellent (>1 year)
378,C4-Naphthalene,Naphthalenes,Aromatics,Diesel,14,184.268,736673485511.7124,18,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,77.26667082557691,1.5842680000000002,WallProximity.SAFE,True,0.0,0.0,0.8635826457283369,0.1887992200283993,True,,High (RON ~90-120),Excellent (>1 year)
381,C7-Naphthalene,Naphthalenes,Aromatics,Diesel,17,226.346,664681494969.2999,21,4490066,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,115.40396953933433,1.926346,WallProximity.SAFE,True,0.0,0.0,0.7581289039374206,0.2062220747462511,True,,High (RON ~90-120),Excellent (>1 year)
412,Aromatic-C13-412,Aromatics,Aromatics,Diesel,13,176.29,753158117252.3292,8,3441297,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,68.88314757353469,1.47629,WallProximity.SAFE,True,0.0,0.0,0.8465212890838342,0.183811298372123,True,,High (RON ~90-120),Excellent (>1 year)
413,Aromatic-C14-413,Aromatics,Aromatics,Diesel,14,190.316,724873710818.0087,8,3703441,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,80.1073485911574,1.590316,WallProximity.SAFE,True,0.0,0.0,0.8276126144218086,0.1903672357609857,True,,High (RON ~90-120),Excellent (>1 year)
427,Aromatic-C13-427,Aromatics,Aromatics,Diesel,13,176.29,753158117252.3292,8,3441297,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,68.88314757353469,1.47629,WallProximity.SAFE,True,0.0,0.0,0.8465212890838342,0.183811298372123,True,,High (RON ~90-120),Excellent (>1 year)
428,Aromatic-C14-428,Aromatics,Aromatics,Diesel,14,190.316,724873710818.0087,8,3703441,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,80.1073485911574,1.590316,WallProximity.SAFE,True,0.0,0.0,0.8276126144218086,0.1903672357609857,True,,High (RON ~90-120),Excellent (>1 year)
442,Aromatic-C13-442,Aromatics,Aromatics,Diesel,13,176.29,753158117252.3292,8,3441297,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,68.88314757353469,1.47629,WallProximity.SAFE,True,0.0,0.0,0.8465212890838342,0.183811298372123,True,,High (RON ~90-120),Excellent (>1 year)
443,Aromatic-C14-443,Aromatics,Aromatics,Diesel,14,190.316,724873710818.0087,8,3703441,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,80.1073485911574,1.590316,WallProximity.SAFE,True,0.0,0.0,0.8276126144218086,0.1903672357609857,True,,High (RON ~90-120),Excellent (>1 year)
457,Aromatic-C13-457,Aromatics,Aromatics,Diesel,13,176.29,753158117252.3292,8,3441297,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,68.88314757353469,1.47629,WallProximity.SAFE,True,0.0,0.0,0.8465212890838342,0.183811298372123,True,,High (RON ~90-120),Excellent (>1 year)
458,Aromatic-C14-458,Aromatics,Aromatics,Diesel,14,190.316,724873710818.0087,8,3703441,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,80.1073485911574,1.590316,WallProximity.SAFE,True,0.0,0.0,0.8276126144218086,0.1903672357609857,True,,High (RON ~90-120),Excellent (>1 year)
472,Aromatic-C13-472,Aromatics,Aromatics,Diesel,13,176.29,753158117252.3292,8,3441297,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,68.88314757353469,1.47629,WallProximity.SAFE,True,0.0,0.0,0.8465212890838342,0.183811298372123,True,,High (RON ~90-120),Excellent (>1 year)
