id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error
30,n-C30H62,Linear alkanes,Alkanes,Heavy oil,30,422.796,486333924479.0623,30,7889891,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,383.02358217907783,3.422796,WallProximity.SAFE,True,0.0,0.0,0.10783220091294515,0.2583225513642143,True,
31,n-C31H64,Linear alkanes,Alkanes,Heavy oil,31,436.822,478462327432.4112,31,8152043,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,408.91339223753005,3.536822,WallProximity.SAFE,True,0.0,0.0,0.0869865141297069,0.2611631334275579,True,
32,n-C32H66,Linear alkanes,Alkanes,Heavy oil,32,450.848,470960979748.8765,32,8414188,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,435.649808307344,3.6508480000000003,WallProximity.SAFE,True,0.0,0.0,0.06944729206159433,0.26391375272738443,True,
33,n-C33H68,Linear alkanes,Alkanes,Heavy oil,33,464.874,463801737672.2709,33,8675820,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,463.23283038851963,3.7648740000000003,WallProximity.SAFE,True,0.0,0.0,0.054874773453956124,0.26657993312705675,True,
34,n-C34H70,Linear alkanes,Alkanes,Heavy oil,34,478.9,456959364182.06506,34,8937964,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,491.6624584810569,3.8789000000000002,WallProximity.SAFE,True,0.0,0.0,0.04291578255159558,0.26916670484427696,True,
35,n-C35H72,Linear alkanes,Alkanes,Heavy oil,35,492.92599999999993,450411154056.51166,35,9200108,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,520.9386925849558,3.9929259999999998,WallProximity.SAFE,True,0.0,0.0,0.033220022214492856,0.27167866157396003,True,
36,n-C36H74,Linear alkanes,Alkanes,Heavy oil,36,506.952,444136616400.4935,36,9462252,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,551.0615327002166,4.106952,WallProximity.SAFE,True,0.0,0.0,0.02545259742122117,0.27412000958029903,True,
37,n-C37H76,Linear alkanes,Alkanes,Heavy oil,37,520.9780000000001,438117204511.31024,37,9724404,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,582.0309788268391,4.220978000000001,WallProximity.SAFE,True,0.0,0.0,0.019302939158844377,0.27649461007589954,True,
38,n-C38H78,Linear alkanes,Alkanes,Heavy oil,38,535.004,432336084960.4745,38,9986548,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,613.8470309648234,4.3350040000000005,WallProximity.SAFE,True,0.0,0.0,0.014490486440712805,0.2788060159602519,True,
39,n-C39H80,Linear alkanes,Alkanes,Heavy oil,39,549.03,426777939336.178,39,10248692,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,646.5096891141691,4.4490300000000005,WallProximity.SAFE,True,0.0,0.0,0.010767602531347405,0.2810575037951581,True,
40,n-C40H82,Linear alkanes,Alkanes,Heavy oil,40,563.056,421428793323.7904,40,10510837,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,680.0189532748766,4.563056,WallProximity.SAFE,True,0.0,0.0,0.007920257433511492,0.2832521017394445,True,
41,2-Methyl-C5,Branched alkanes,Alkanes,Gasoline,5,72.146,1177318236610.3547,7,1352256,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,10.925284410327981,0.572146,WallProximity.BEYOND_WALL,False,1.0,0.0,0.5773514250774086,0.10384327514757133,True,
42,"2,2-Dimethyl-C5",Branched alkanes,Alkanes,Gasoline,5,72.146,1177318236610.3547,10,1352320,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,10.925284410327981,0.572146,WallProximity.BEYOND_WALL,False,1.0,0.0,0.5773514250774086,0.10384327514757133,True,
43,"2,3-Dimethyl-C5",Branched alkanes,Alkanes,Gasoline,5,72.146,1177318236610.3547,11,1352320,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,10.925284410327981,0.572146,WallProximity.BEYOND_WALL,False,1.0,0.0,0.5773514250774086,0.10384327514757133,True,
44,"2,4-Dimethyl-C5",Branched alkanes,Alkanes,Gasoline,5,72.146,1177318236610.3547,12,1352384,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,10.925284410327981,0.572146,WallProximity.BEYOND_WALL,False,1.0,0.0,0.5773514250774086,0.10384327514757133,True,
45,"2,2,3-Trimethyl-C5",Branched alkanes,Alkanes,Gasoline,5,72.146,1177318236610.3547,14,1352384,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,10.925284410327981,0.572146,WallProximity.BEYOND_WALL,False,1.0,0.0,0.5773514250774086,0.10384327514757133,True,
46,2-Ethyl-C5,Branched alkanes,Alkanes,Gasoline,5,72.146,1177318236610.3547,11,1352320,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,10.925284410327981,0.572146,WallProximity.BEYOND_WALL,False,1.0,0.0,0.5773514250774086,0.10384327514757133,True,
47,2-Methyl-C6,Branched alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,8,1614472,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
48,3-Methyl-C6,Branched alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,8,1614472,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
49,"2,2-Dimethyl-C6",Branched alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,11,1614472,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
50,"2,3-Dimethyl-C6",Branched alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,12,1614536,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
51,"2,4-Dimethyl-C6",Branched alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,13,1614536,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
52,"2,2,3-Trimethyl-C6",Branched alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,15,1614536,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
53,2-Ethyl-C6,Branched alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,12,1614536,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
54,3-Ethyl-C6,Branched alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,12,1614536,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
55,2-Methyl-C7,Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,9,1872520,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
56,3-Methyl-C7,Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,9,1872520,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
57,"2,2-Dimethyl-C7",Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,12,1872584,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
58,"2,3-Dimethyl-C7",Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,13,1872584,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
59,"2,4-Dimethyl-C7",Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,14,1872584,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
60,"2,2,3-Trimethyl-C7",Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,16,1872648,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
61,2-Ethyl-C7,Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,13,1872584,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
62,3-Ethyl-C7,Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,13,1872584,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
63,2-Methyl-C8,Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,10,2134665,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
64,3-Methyl-C8,Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,10,2134665,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
65,"2,2-Dimethyl-C8",Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,13,2134729,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
66,"2,3-Dimethyl-C8",Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,14,2134729,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
67,"2,4-Dimethyl-C8",Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,15,2134729,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
68,"2,2,3-Trimethyl-C8",Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,17,2134793,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
69,2-Ethyl-C8,Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,14,2134729,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
70,3-Ethyl-C8,Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,14,2134729,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
71,2-Methyl-C9,Branched alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,11,2396809,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
72,3-Methyl-C9,Branched alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,11,2396809,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
73,"2,2-Dimethyl-C9",Branched alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,14,2396873,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
74,"2,3-Dimethyl-C9",Branched alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,15,2396873,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
75,"2,4-Dimethyl-C9",Branched alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,16,2396937,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
