trial,frequency_name,frequency,even_pct,error
88,perturbed_77,1.4802745321480253,58.85,3.8500000000000014
89,perturbed_78,1.4134801345455397,47.58,7.420000000000002
90,perturbed_79,0.22129324482361465,49.6,5.399999999999999
91,perturbed_80,6.5786577328579146,24.740000000000002,30.259999999999998
92,perturbed_81,1.7388003291169913,56.940000000000005,1.9400000000000048
93,perturbed_82,6.594090173938706,28.73,26.27
94,perturbed_83,1.6249266868366665,45.68,9.32
95,perturbed_84,1.6359713472932242,49.36,5.640000000000001
96,perturbed_85,1.5385766804799537,48.76,6.240000000000002
97,perturbed_86,0.22522944063733455,49.46,5.539999999999999
98,perturbed_87,2.262637435295759,48.0,7.0
99,perturbed_88,6.141892840016524,67.31,12.310000000000002
