chembl_id,name,therapeutic_area,ubp_energy,ubp_nrci,ubp_crv,ubp_resonance,drug_likeness_score,molecular_weight,logp,complexity,heavy_atoms,aromatic_rings,ubp_therapeutic_potential,ubp_complexity_index,smiles,inchi_key
CHEMBL1089317,Unknown,CNS/Neurology,251725248.78988627,0.9999970640516656,22.85204622727596,0.35191935,0.8,415.94600000000014,5.659200000000004,975.5268525098904,28,3,0.28153548,2.285204622727596,CC(C)CCNc1cc(Cl)nc(SC(C(=O)O)c2cccc3ccccc23)n1,COUZGLSEBNURHL-UHFFFAOYSA-N
CHEMBL1088309,Unknown,CNS/Neurology,254081850.90309033,0.9999970747702364,23.875359611112323,0.19760625,0.8,452.64200000000034,6.236500000000007,969.5720909343678,34,3,0.15808500000000003,2.387535961111232,O=C(CCCCC(c1ccccc1)c1ccccc1)N1CCN(C/C=C/c2ccccc2)CC1,YBINNPIWNMGBFX-NTCAYCPXSA-N
CHEMBL1160322,Unknown,Other,238582993.55654737,0.9999973652172321,18.90338221733427,0.2918189739599994,1.0,453.859,4.700600000000006,908.2126488206566,30,2,0.2918189739599994,1.8903382217334268,O=C(NCc1ccc(OCC2CCCCC2)c(Cl)c1)c1ccc(OP(=O)(O)O)cc1,YNRQCFBHWAZNDB-UHFFFAOYSA-N
CHEMBL532645,Unknown,CNS/Neurology,260769727.79502812,0.9999970386739703,23.677834531193653,0.20522565,0.8,478.5080000000001,7.564500000000009,989.6255721204102,32,3,0.16418052000000002,2.3677834531193653,CCCN(CCC)CCCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl,PFAVEFCRPZTKSU-UHFFFAOYSA-N
CHEMBL1209204,Unknown,Pain/Inflammation,175468967.48842576,0.9999968757815478,14.684419763948164,0.5479856305439998,1.0,241.225,2.3446799999999994,619.8786376357117,18,2,0.5479856305439998,1.4684419763948164,N#Cc1cc(F)cc(C(=O)Nc2ccccn2)c1,QSQNDNOCUDDTAZ-UHFFFAOYSA-N
CHEMBL1098866,Unknown,Other,270835537.7413798,0.9999974635980841,21.444185016012536,0.3102171000000001,1.0,494.5960000000003,1.995900000000001,1153.5566200018438,36,3,0.3102171000000001,2.144418501601254,CC1(C)O[C@@H]2[C@H](O1)[C@H](CNCCNc1ncccn1)O[C@@H]2CC(=O)NCCc1c[nH]c2ccccc12,XPJUUVBYNXLXMZ-AWAHEQQVSA-N
CHEMBL1084510,Unknown,Immunology,306466367.02485204,0.9999961815236602,26.90947160465345,0.47019554341200004,0.8,514.6480000000005,2.2979000000000003,1165.8201887827593,36,2,0.37615643472960003,2.690947160465345,COc1ccc(N2CCN(c3ccc(S(=O)(=O)C4(C(=O)NO)CCN(C5CC5)CC4)cc3)CC2)cc1,HMVRHAWMVBUIKM-UHFFFAOYSA-N
CHEMBL1088782,Unknown,Other,223054639.28367937,0.9999972295742175,18.30679578551557,0.28255263875999986,1.0,418.465,1.4265999999999994,816.430120848549,30,2,0.28255263875999986,1.8306795785515568,O=C(COc1cccc(F)c1C(=O)NCCCCO)N[C@H](CO)Cc1ccccc1,REUDBRNTFFOXCJ-KRWDZBQOSA-N
CHEMBL1077878,Unknown,Pain/Inflammation,179267766.67028904,0.9999962988176414,15.063193462158486,0.1444809448133331,1.0,365.31100000000015,4.674700000000005,599.343134108453,22,1,0.1444809448133331,1.5063193462158486,COc1cc2c(cc1Br)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,SZPRQVJSLFYHPW-SSTWWWIQSA-N
CHEMBL1077021,Unknown,Pain/Inflammation,125324833.72762486,0.9999953039601078,12.930011218672155,0.14442586499999996,1.0,220.31199999999995,2.7879000000000014,346.6445042962167,16,0,0.14442586499999996,1.2930011218672155,C[C@H]1CC[C@H]2[C@@H](C=C[C@@H]3COC(=O)[C@@]32C)C1,ZSRQNNNSHRCNQE-HNRZYHPDSA-N
