weight,tax,tax_frac,nrci,nrci_frac,tilt_deg,fold3,fold3_weight,vec_int,codeword_index
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,58.2875,011,2,8522660,65
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.8,011,2,4326073,66
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,12715334,67
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.8,011,2,2228638,68
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,10618465,69
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,67.0331,101,2,6426492,70
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,37.3489,011,2,14813315,71
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,58.2875,011,2,1181648,72
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,4.3066,101,2,9568303,73
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,5376306,74
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,13766349,75
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,3279381,76
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,11668970,77
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,7472375,78
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,77.7001,101,2,15860488,79
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,29.8755,000,0,656205,80
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.1969,110,2,9045170,81
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,45.5026,110,2,4853167,82
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,61.5162,000,0,13240912,83
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,72.5198,110,2,2756232,84
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,000,0,11143543,85
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,23.1164,000,0,6946922,86
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,64.3066,110,2,15337365,87
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.1969,110,2,1706182,88
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,0.0,000,0,10096441,89
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,61.5162,000,0,5899812,90
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,38.134,110,2,14287323,91
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,61.5162,000,0,3802371,92
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,38.134,110,2,12190460,93
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,64.3066,110,2,7998433,94
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,64.3066,000,0,16387102,95
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.8,011,2,393846,96
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,8783241,97
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,4590740,98
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,12979051,99
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,67.0331,101,2,2494387,100
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,37.3489,011,2,10881100,101
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,37.3489,011,2,6685009,102
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,43.4556,101,2,15074990,103
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,39.6298,101,2,1444349,104
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,86.6654,011,2,9833986,105
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,5637919,106
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,42.5198,101,2,14024928,107
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,37.3489,011,2,3540024,108
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,43.4556,101,2,11928519,109
