ubp_id,z,symbol,degree,nrci,tax,saturation
ELEM_Md_101,101,Md,13,0.615961,6.234806886472431,118.46799849185714
ELEM_No_102,102,No,22,0.68138,4.676105164854324,66.03534407169138
ELEM_Lr_103,103,Lr,23,0.68138,4.676105164854324,159.88954520751713
ELEM_Rf_104,104,Rf,27,0.615961,6.234806886472431,101.85283501208987
ELEM_Db_105,105,Db,24,0.68138,4.676105164854324,121.60866197219121
ELEM_Sg_106,106,Sg,17,0.762346,3.1174034432362157,132.56193521017514
ELEM_Bh_107,107,Bh,26,0.68138,4.676105164854324,166.13849644197458
ELEM_Hs_108,108,Hs,23,0.762346,3.1174034432362157,66.31741852635702
ELEM_Mt_109,109,Mt,25,0.68138,4.676105164854324,53.485200445232195
ELEM_Ds_110,110,Ds,18,0.615961,6.234806886472431,140.601090560019
ELEM_Rg_111,111,Rg,24,0.762346,3.1174034432362157,128.88237531434103
ELEM_Cn_112,112,Cn,18,0.68138,4.676105164854324,89.60282733634395
ELEM_Nh_113,113,Nh,24,0.615961,6.234806886472431,121.20506040040847
ELEM_Fl_114,114,Fl,28,0.68138,4.676105164854324,113.16359838746733
ELEM_Mc_115,115,Mc,22,0.68138,4.676105164854324,115.58835004734112
ELEM_Lv_116,116,Lv,27,0.68138,4.676105164854324,72.16647421067486
ELEM_Ts_117,117,Ts,17,0.68138,4.676105164854324,89.40171512150461
ELEM_Og_118,118,Og,17,0.68138,4.676105164854324,61.584630117153964
