TP53,PTEN,RB1,NKX3-1,AR,ERG,MYC,PIK3CA,AKT1,BRCA2,CDKN1B,FOXA1,SPOP,CHD1,APC,ATM,CDK12,KMT2C,KMT2D,MED12,NCOR1,NF1,NOTCH1,ZBTB16
0.003,0.0,0.036,0.0,1.0,0.996,0.002,0.981,0.012,0.979,0.982,0.0,0.999,0.0,1.0,0.018,0.999,0.0,0.057,0.0,0.016,0.0,0.0,0.0
0.007,0.0,0.03,0.0,1.0,0.996,0.002,0.978,0.018,0.981,0.982,0.0,1.0,0.001,1.0,0.018,1.0,0.0,0.052,0.0,0.01,0.0,0.0,0.0
0.013,0.0,0.033,0.001,1.0,0.994,0.004,0.976,0.025,0.979,0.985,0.001,1.0,0.002,1.0,0.018,1.0,0.0,0.052,0.0,0.012,0.0,0.0,0.001
0.013,0.0,0.033,0.001,1.0,0.996,0.004,0.975,0.025,0.982,0.988,0.0,1.0,0.001,1.0,0.018,1.0,0.0,0.053,0.0,0.008,0.0,0.0,0.0
0.015,0.0,0.029,0.001,1.0,0.994,0.001,0.971,0.028,0.986,0.988,0.0,1.0,0.001,1.0,0.02,1.0,0.0,0.044,0.0,0.007,0.0,0.0,0.0
0.019,0.001,0.033,0.0,1.0,0.991,0.0,0.974,0.036,0.989,0.991,0.0,1.0,0.0,1.0,0.021,1.0,0.0,0.045,0.0,0.005,0.0,0.0,0.0
0.02,0.002,0.041,0.0,0.999,0.991,0.001,0.969,0.041,0.987,0.999,0.0,1.0,0.0,1.0,0.022,1.0,0.0,0.049,0.001,0.003,0.0,0.0,0.0
0.021,0.0,0.048,0.0,0.999,0.988,0.001,0.964,0.039,0.988,0.998,0.0,1.0,0.0,1.0,0.022,1.0,0.0,0.051,0.0,0.002,0.0,0.0,0.0
0.027,0.0,0.068,0.0,0.998,0.993,0.001,0.975,0.046,0.988,0.998,0.0,1.0,0.0,1.0,0.019,1.0,0.0,0.056,0.0,0.001,0.0,0.0,0.0
0.03,0.0,0.077,0.0,0.998,0.991,0.002,0.983,0.051,0.992,0.997,0.0,1.0,0.0,1.0,0.011,0.999,0.0,0.054,0.0,0.002,0.0,0.001,0.0
0.018,0.001,0.085,0.0,0.994,0.991,0.001,0.981,0.035,0.99,0.997,0.0,0.999,0.0,1.0,0.014,1.0,0.0,0.059,0.0,0.001,0.0,0.001,0.0
0.018,0.0,0.099,0.001,0.997,0.993,0.002,0.979,0.035,0.989,0.995,0.0,0.999,0.0,1.0,0.012,1.0,0.0,0.058,0.0,0.0,0.0,0.001,0.0
0.021,0.0,0.096,0.002,0.997,0.994,0.001,0.979,0.035,0.983,0.993,0.0,0.999,0.0,1.0,0.015,1.0,0.0,0.043,0.0,0.0,0.0,0.0,0.001
0.015,0.0,0.094,0.002,0.999,0.993,0.001,0.978,0.032,0.983,0.999,0.0,1.0,0.0,1.0,0.017,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
0.016,0.0,0.092,0.004,0.998,0.995,0.0,0.968,0.033,0.98,0.999,0.0,1.0,0.0,1.0,0.017,1.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0
0.012,0.0,0.089,0.004,0.998,0.999,0.0,0.974,0.028,0.98,1.0,0.0,1.0,0.0,1.0,0.017,1.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0
0.012,0.001,0.106,0.006,0.998,0.999,0.0,0.98,0.028,0.988,1.0,0.0,1.0,0.0,1.0,0.01,1.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0
0.014,0.0,0.115,0.009,0.999,1.0,0.0,0.97,0.024,0.992,1.0,0.0,1.0,0.0,1.0,0.012,0.999,0.0,0.052,0.0,0.0,0.0,0.001,0.0
0.014,0.0,0.117,0.008,0.999,1.0,0.0,0.963,0.022,0.994,1.0,0.001,1.0,0.0,1.0,0.018,1.0,0.0,0.048,0.0,0.0,0.001,0.004,0.0
