M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2
10722672220103.254,5.3909865359996255e-18,1.5925656483942646e-14,1.5925656483942646e-17,2.8217209747146226e+30,11442116716.892448,3.050175190441905e+42,1.0370063102536804e+23,3286074702302077.5,3097717.308122494,3.1871650294656777e-27
17073526474706.887,8.583975100405675e-18,2.5358148792042786e-14,2.5358148792042787e-17,1.7721230088744508e+30,7185982769.356851,7.733305878234876e+42,4.1864123717676e+23,1.3265940286230892e+16,1221803.5377121721,8.080625052130428e-27
27185882427329.402,1.3668115850844345e-17,4.037734399255298e-14,4.037734399255298e-17,1.1129448966511766e+30,4513006608.75602,1.9606749144687104e+43,1.6900618996427992e+24,5.355482988702561e+16,481904.49168867036,2.0487329846256917e-26
43287612810830.62,2.1763505686692117e-17,6.42921500801565e-14,6.42921500801565e-17,6.989618309671485e+29,2834299678.191182,4.971025562361864e+43,6.822809056954478e+24,2.1620177253512554e+17,190073.06161886736,5.194284866845404e-26
68926121043496.81,3.4653655627700765e-17,1.0237128431953599e-13,1.0237128431953599e-16,4.389684005191796e+29,1780022801.2537713,1.2603361709429995e+44,2.754379791503385e+25,8.728102870634602e+17,74968.7321373008,1.3169405422966023e-25
109749876549305.9,5.5178419582355915e-17,1.6300403455422677e-13,1.6300403455422676e-16,2.7568494890162598e+29,1117906196.4983835,3.195411578275159e+44,1.1119478755028913e+26,3.523550192355855e+18,29569.21275642974,3.338924291608584e-25
174752840000768.28,8.785964806474021e-17,2.595485194658713e-13,2.595485194658713e-16,1.7313818252294007e+29,702077671.8642302,8.101533059179784e+44,4.4889527640649014e+26,1.4224632938071658e+19,11662.706812671215,8.465390096998656e-25
278255940220712.6,1.3989740584249e-16,4.1327464158266287e-13,4.1327464158266285e-16,1.087358245953556e+29,440925239.41118366,2.0540339264969523e+45,1.8121979781554775e+27,5.742508866819649e+19,4600.011887998254,2.1462849479536636e-24
443062145758388.7,2.2275623215605263e-16,6.580501007162817e-13,6.580501007162818e-16,6.828926686270016e+28,276913900.7562773,5.2077246866503954e+45,7.315874513807464e+27,2.318260740299473e+20,1814.3394762127928,5.441614650984217e-24
705480231071863.1,3.5469091557157527e-16,1.047801852526905e-12,1.047801852526905e-15,4.288764982469525e+28,173910000.10445935,1.320348026490496e+46,2.9534311673967135e+28,9.358858618515709e+20,715.6128755955483,1.3796476575972861e-23
1123324032978026.5,5.647682418190179e-16,1.668396860609513e-12,1.668396860609513e-15,2.6934694015441766e+28,109220548.5305429,3.347563506047518e+46,1.1923052594857534e+29,3.778187376371313e+21,282.25246401355616,3.4979096852612e-23
1788649529057435.0,8.992707536739242e-16,2.6565596136128272e-12,2.656559613612827e-15,1.6915772831360302e+28,68593687.62088107,8.487293654542995e+46,4.813356910059443e+29,1.5252607644622668e+22,111.3261878853475,8.868476019125432e-23
2848035868435793.0,1.4318933476298608e-15,4.229994162240552e-12,4.229994162240552e-15,1.062359833448048e+28,43078834.93292727,2.1518382981626003e+47,1.9431604917694775e+30,6.157504029994288e+22,43.90934248314853,2.2484819214515878e-22
4534878508128591.0,2.279979139330614e-15,6.735346920468933e-12,6.735346920468933e-15,6.671929370152205e+27,27054763.835345224,5.455694417926582e+47,7.844572441496467e+30,2.485795003896515e+23,17.318749468795595,5.700721228982106e-22
