M_kg,Q_C,r_plus_m,r_minus_m,kappa_ms2,T_H_K,S_BH_kB,Phi_H,q_frac
1.2915496650148826e+16,612147.329946805,1.7601531815086787e-11,1.5809778007672988e-12,2.422772200942373e+38,9.824374043372128e+17,3.725898559202131e+48,0.299700628319085,0.55
1.2915496650148826e+16,734576.795936166,1.6796834594828678e-11,2.3856750210254096e-12,2.3932056378453266e+38,9.704481230119045e+17,3.3930088144850813e+48,0.3768703047883062,0.66
1.2915496650148826e+16,857006.2619255269,1.5710896293720685e-11,3.4716133221334026e-12,2.3232183711082613e+38,9.420681916906378e+17,2.968465600319423e+48,0.470072875794843,0.77
1.2915496650148826e+16,979435.7279148878,1.4146848433257959e-11,5.035661182596127e-12,2.1330034225516357e+38,8.649357727808367e+17,2.4068526212849635e+48,0.5966208142255491,0.88
1.2915496650148826e+16,1101865.1939042488,1.0944267800818329e-11,8.238241815035757e-12,1.0585089174612136e+38,4.2922679768815904e+17,1.4404676843381556e+48,0.8676087274781217,0.99
1.6681005372000557e+17,0.0,2.477516386850111e-10,0.0,1.4642267424193476e+36,5937459244513646.0,7.381815190962981e+50,0.0,0.0
1.6681005372000557e+17,1581237.3578651014,2.469999090751893e-10,7.517296098217494e-13,1.4642131799721096e+36,5937404248606661.0,7.337087249051316e+50,0.055167389245992036,0.11
1.6681005372000557e+17,3162474.715730203,2.447166652377436e-10,3.0349734472675267e-12,1.4640015306749944e+36,5936546007844254.0,7.202067518112262e+50,0.11136421881556408,0.22
1.6681005372000557e+17,4743712.073595305,2.408122307390468e-10,6.93940794596427e-12,1.4630108473675533e+36,5932528773633361.0,6.974084068855924e+50,0.16975475148238992,0.33
1.6681005372000557e+17,6324949.431460406,2.3511602921903997e-10,1.2635609465971105e-11,1.4599977564281346e+36,5920310649121270.0,6.64805454068689e+50,0.23182324357785017,0.44
