M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2,R_g,kappa_UBP_ms2,T_UBP_K,N_OffBits,delta_T,abs_residual_K
2.2570197196339167e+25,1.1347509902634073e-05,0.0335219803371254,3.352198033712549e-05,1.3405460681292882e+18,0.0054359324374579,1.3514171648161806e+67,9.67115555681591e+59,3.0646042654751646e+52,6.991609050283822e-19,0.0141211217684114,4.430621457583887e-26,1.3405460681292882e+18,0.005435932437457912,1.1347509902634071e-05,2.2338512245226366e-15,1.214306433183765e-17
3.59381366380464e+25,1.806844476523198e-05,0.0533764724895236,5.337647248952361e-05,8.419019999056883e+17,0.0034139239965355,3.426335096216734e+67,3.90426218934384e+60,1.2371860310492046e+53,2.7576346781348322e-19,0.0358021907466592,2.782559402207114e-26,8.419019999056882e+17,0.0034139239965355955,1.806844476523198e-05,2.7947251103289834e-14,9.540979117872439e-17
5.72236765935022e+25,2.877007370211272e-05,0.0849904387143123,8.499043871431237e-05,5.287389924870853e+17,0.0021440437658515,8.687008347391519e+67,1.57615738404669e+61,4.994541359440167e+53,1.0876679407214878e-19,0.0907716032254247,1.7475284000076833e-26,5.287389924870854e+17,0.0021440437658515167,2.8770073702112722e-05,7.8886234321139e-15,1.691355389077387e-17
9.111627561154869e+25,4.581009331902901e-05,0.1353288131633097,0.0001353288131633,3.3206349694807174e+17,0.0013465219713595,2.2024732522798304e+68,6.362974561660826e+61,2.0163049666834064e+54,4.2899864824497964e-20,0.2301390998784832,1.0974987654930591e-26,3.3206349694807174e+17,0.0013465219713595402,4.581009331902901e-05,2.979192410908939e-14,4.0115480381963664e-17
1.4508287784959433e+26,7.294262335323998e-05,0.2154817406432107,0.0002154817406432,2.085455538028519e+17,0.0008456550412971,5.5840724827492125e+68,2.5687438121435984e+62,8.139857949094983e+54,1.6920590678983952e-20,0.5834865025061533,6.892612104349683e-27,2.0854555380285194e+17,0.0008456550412971066,7.294262335323999e-05,7.82072231487832e-15,6.613633252161577e-18
2.310129700083158e+26,0.0001161452840665,0.3431078679053713,0.0003431078679053,1.3097268567806397e+17,0.0005310960118602,1.4157659104517794e+69,1.0370063102536714e+63,3.286074702302049e+55,6.673829628531323e-21,1.4793509611648945,4.328761281083063e-27,1.3097268567806398e+17,0.0005310960118602227,0.00011614528406652378,4.266615621077526e-14,2.2659825404947043e-17
3.678379771828619e+26,0.0001849361373468,0.5463247543256695,0.0005463247543256,8.225466369779952e+16,0.0003335437738078,3.589482621132688e+69,4.186412371767567e+63,1.3265940286230788e+56,2.632295926050797e-21,3.750693901058008,2.7185882427329515e-27,8.225466369779952e+16,0.0003335437738078069,0.0001849361373468386,2.064102026755312e-14,6.884683795282953e-18
5.857020818056673e+26,0.0002944706293643,0.8699035058890673,0.000869903505889,5.165832604722423e+16,0.0002094752108122,9.10064678934268e+69,1.6900618996428056e+64,5.355482988702581e+56,1.0382317541762504e-21,9.509376144492816,1.707352647470689e-27,5.165832604722422e+16,0.00020947521081222584,0.0002944706293643375,1.2331347780633296e-13,2.5831116759467143e-17
9.32603346883218e+26,0.0004688805162811,1.3851323842942491,0.0013851323842942,3.244293429738668e+16,0.000131556537374,2.3073456741862385e+70,6.82280905695442e+64,2.162017725351237e+57,4.0949999759225783e-22,24.10973463655333,1.0722672220103255e-27,3.244293429738668e+16,0.0001315565373740452,0.0004688805162811554,3.4366388394759313e-13,4.5211230592645535e-17
1.4849682622544695e+27,0.0007465903782073,2.205522462011265,0.0022055224620112,2.0375108261586748e+16,8.262133957875599e-05,5.849962297647376e+70,2.754379791503429e+65,8.728102870634741e+57,1.6151523718430726e-22,61.12696515655932,6.734150657750801e-28,2.0375108261586748e+16,8.2621339578756e-05,0.0007465903782073753,1.6403180128966947e-16,1.3552527156068805e-20
2.364489412645407e+27,0.0011887830128936,3.51181546658781,0.0035118154665878,1.2796161804169004e+16,5.188860918693445e-05,1.483178670051888e+71,1.1119478755028819e+66,3.523550192355826e+58,6.370493771938588e-23,154.9791370820877,4.229242874389499e-28,1.2796161804169004e+16,5.1888609186934453e-05,0.0011887830128936186,1.3059250737714254e-16,6.776263578034403e-21
3.764935806792456e+27,0.0018928787364466,5.591803340836873,0.0055918033408368,8036362546704918.0,3.2587558820538764e-05,3.7603985382633463e+71,4.488952764064865e+66,1.4224632938071544e+59,2.512654013689018e-23,392.9286014640495,2.6560877829466947e-28,8036362546704918.0,3.258755882053876e-05,0.0018928787364466846,2.0794020243589304e-16,6.776263578034403e-21
5.994842503189421e+27,0.0030139982419252,8.903732243361832,0.0089037322433618,5047069892554797.0,2.046593667708989e-05,9.533980937090091e+71,1.8121979781554844e+67,5.742508866819672e+59,9.91042518606247e-24,996.2172248172934,1.668100537200056e-28,5047069892554797.0,2.046593667708989e-05,0.0030139982419252996,0.0,0.0
9.545484566618328e+27,0.0047991375397779,14.177259647621284,0.0141772596476212,3169706985255131.0,1.2853204696224975e-05,2.417211675408596e+72,7.315874513807404e+67,2.3182607402994537e+60,3.90887590704714e-24,2525.7737800831906,1.0476157527896663e-28,3169706985255131.0,1.2853204696224975e-05,0.004799137539777943,0.0,0.0
1.5199110829529269e+28,0.0076415841274656,22.5742065936363,0.0225742065936363,1990668365262011.2,8.072187145384579e-06,6.128512656240923e+72,2.9534311673966885e+68,9.35885861851563e+60,1.5417412038165288e-24,6403.757161823556,6.57933224657571e-29,1990668365262011.2,8.07218714538458e-06,0.007641584127465696,2.0986454649744014e-16,1.6940658945086007e-21
2.420128264794384e+28,0.012167562920032,35.94452073237429,0.0359445207323742,1250197749788512.8,5.069568784604298e-06,1.5538013389479846e+73,1.1923052594857585e+69,3.778187376371328e+61,6.080944998177797e-25,16235.85853609442,4.132012400115335e-29,1250197749788512.8,5.069568784604299e-06,0.012167562920032095,1.6708185316010363e-16,8.470329472543003e-22
3.85352859371052e+28,0.0193742010744621,57.23384187705156,0.0572338418770515,785160622859726.1,3.1838369451740547e-06,3.9394527454519135e+73,4.8133569100594046e+69,1.5252607644622543e+62,2.398450010892012e-25,41163.819261535085,2.595024211399743e-29,785160622859726.2,3.1838369451740555e-06,0.019374201074462142,2.660415598663752e-16,8.470329472543003e-22
6.135907273413188e+28,0.0308492070055967,91.13246161763452,0.0911324616176345,493103754021116.4,1.999542391897223e-06,9.987948616491963e+73,1.9431604917695097e+70,6.15750402999439e+62,9.459981066218488e-26,104365.28579190013,1.62975083462064e-29,493103754021116.3,1.999542391897222e-06,0.030849207005596724,4.236133980888554e-16,8.470329472543003e-22
9.770099572992248e+28,0.0491206615032289,145.10865054857652,0.1451086505485765,309683528631516.94,1.2557708971416956e-06,2.5323090289851463e+74,7.844572441496406e+70,2.485795003896496e+63,3.731211464354469e-26,264604.0399998253,1.0235310218990269e-29,309683528631516.94,1.2557708971416956e-06,0.049120661503229,0.0,0.0
1.555676143930466e+29,0.0782139841091234,231.05400743344316,0.2310540074334431,194490281454155.47,7.886607218223538e-07,6.420326399848832e+74,3.1668674332631604e+71,1.0035197332063148e+64,1.4716666866750236e-26,670867.6879766001,6.428073117284346e-30,194490281454155.47,7.886607218223538e-07,0.07821398410912349,0.0,0.0
2.477076355991714e+29,0.1245387810956115,367.90332036877817,0.3679033203687781,122145565013646.14,4.953019181771727e-07,1.6277867593875844e+75,1.2784698483770944e+72,4.051226482296165e+64,5.804556663056107e-27,1700894.1162477084,4.03701725859655e-30,122145565013646.14,4.953019181771727e-07,0.12453878109561156,0.0,0.0
3.944206059437648e+29,0.1983009582422145,585.806126636259,0.585806126636259,76710974661321.36,3.1106403978521973e-07,4.127032753505924e+75,5.161204842493601e+72,1.6354871227512867e+65,2.2894367562775263e-27,4312386.550337084,2.5353644939701166e-30,76710974661321.36,3.1106403978521973e-07,0.19830095824221458,0.0,0.0
6.280291441834272e+29,0.3157512037121303,932.769015676713,0.932769015676713,48176727766025.83,1.953572826925495e-07,1.0463532308690734e+76,2.08358730242991e+73,6.602489740759469e+65,9.030010326809017e-28,10933471.74399901,1.5922827933410872e-30,48176727766025.83,1.9535728269254947e-07,0.31575120371213033,1.354942044487517e-16,2.6469779601696886e-23
1e+30,0.5027652086475616,1485.232053823733,1.485232053823733,30256389108455.16,1.226900670594017e-07,2.6528868296963418e+76,8.411477899702106e+73,2.665436503315242e+66,3.561622144778495e-28,27720336.055560384,1e-30,30256389108455.16,1.2269006705940173e-07,0.5027652086475616,2.1574509034118678e-16,2.6469779601696886e-23
