M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2,R_g,kappa_UBP_ms2,T_UBP_K,N_OffBits,delta_T,abs_residual_K
1.1768119524350038e+17,5.91660106804929e-14,1.7478388330793578e-10,1.747838833079358e-13,2.571047060309853e+26,1042563.060355881,3.6739468152967974e+50,1.3708613127432795e+35,4.343997365906405e+27,0.0257177933030977,3.8389515613804135e-19,8.497534359086403e-18,2.571047060309853e+26,1042563.060355881,5.91660106804929e-14,0.0,0.0
1.873817422860387e+17,9.420902075718387e-14,2.783053699445626e-10,2.7830536994456266e-13,1.6146924849417136e+26,654759.9865525587,9.31479430823801e+50,5.534190778686899e+35,1.7536792337461973e+28,0.0101436276181443,9.733141482794961e-19,5.336699231206301e-18,1.6146924849417136e+26,654759.9865525587,9.420902075718386e-14,0.0,0.0
2.9836472402833344e+17,1.5000740272917721e-13,4.431408518571529e-10,4.43140851857153e-13,1.0140739394373558e+26,411208.35400015576,2.36163987577414e+51,2.2341623685924705e+36,7.079633332675712e+28,0.0040008557516164,2.46770613302658e-18,3.3516026509388474e-18,1.0140739394373558e+26,411208.3540001558,1.5000740272917721e-13,1.4155271980064238e-16,5.820766091346741e-11
4.750810162102774e+17,2.388542062394557e-13,7.056055534386564e-10,7.056055534386567e-13,6.368679883235592e+25,258250.83064379363,5.987617888581701e+51,9.019352040514676e+36,2.8580601948547024e+29,0.0015780199498461,6.256534511227836e-18,2.1049041445120307e-18,6.368679883235593e+25,258250.83064379366,2.388542062394557e-13,1.1269598004459753e-16,2.9103830456733704e-11
7.56463327554629e+17,3.803234427122318e-13,1.123523581626297e-09,1.123523581626297e-12,3.9997165766466255e+25,162189.0481538796,1.518079379817049e+52,3.6411279848916336e+37,1.1538038332736436e+30,0.0006224035848096,1.5862595455065862e-17,1.3219411484660287e-18,3.9997165766466255e+25,162189.0481538796,3.803234427122318e-13,0.0,0.0
1.2045035402587886e+18,6.055824737349366e-13,1.788967266936518e-09,1.788967266936518e-12,2.511938578607627e+25,101859.44910800482,3.8488845586163523e+52,1.4699296515766647e+38,4.6579259879606335e+30,0.0002454887990621,4.021746129898607e-17,8.302175681319702e-19,2.511938578607627e+25,101859.44910800483,6.055824737349365e-13,1.428626932091199e-16,1.4551915228366852e-11
1.9179102616724923e+18,9.642585528770702e-13,2.848541796993449e-09,2.8485417969934494e-12,1.5775706357642826e+25,63970.70265029564,9.758325251305662e+52,5.9341313723377575e+38,1.88041276026623e+31,9.682584087852056e-05,1.0196592341506571e-16,5.214008287999675e-19,1.5775706357642826e+25,63970.702650295636,9.6425855287707e-13,1.1373890410362406e-16,7.275957614183426e-12
3.0538555088334126e+18,1.535372302078136e-12,4.5356840894655714e-09,4.535684089465571e-12,9.907603362679476e+24,40175.46563827766,2.4740911362772197e+53,2.3956190764906566e+39,7.591258766479888e+31,3.819010683032093e-05,2.5852078182143163e-16,3.274549162877732e-19,9.907603362679476e+24,40175.46563827766,1.535372302078136e-12,0.0,0.0
4.862601580065333e+18,2.44474689797151e-12,7.2220917316869644e-09,7.222091731686964e-12,6.222263660772438e+24,25231.36330197821,6.272722821763388e+53,9.671155556815828e+39,3.064604265475141e+32,1.506296507707242e-05,6.554444111834473e-16,2.0565123083486602e-19,6.222263660772438e+24,25231.36330197821,2.44474689797151e-12,0.0,0.0
7.742636826811277e+18,3.892728419714066e-12,1.1499612396296186e-08,1.1499612396296186e-11,3.907762921758521e+24,15846.031501122376,1.5903638722815068e+54,3.9042621893438075e+40,1.2371860310491948e+33,5.941143813008622e-06,1.6617904878856761e-15,1.2915496650148828e-19,3.9077629217585205e+24,15846.031501122377,3.892728419714066e-12,1.1479147971004712e-16,1.8189894035458565e-12
