M_kg,a_dimensionless,r_plus_m,r_minus_m,kappa_ms2,T_H_K,S_BH_kB,Omega_H
1.6681005372000557e+17,0.11,2.469999090751893e-10,7.517296098217494e-13,1.4597704549579845e+36,5919388938585507.0,7.35941724000398e+50,222672146.74665096
1.6681005372000557e+17,0.22,2.447166652377436e-10,3.0349734472675267e-12,1.446067418126069e+36,5863822938895368.0,7.291387481922913e+50,449499423.7238987
1.6681005372000557e+17,0.33,2.408122307390468e-10,6.93940794596427e-12,1.4220325953037514e+36,5766361407274366.0,7.175053987429891e+50,685181145.050727
1.6681005372000557e+17,0.44,2.3511602921903997e-10,1.2635609465971105e-11,1.3855362450155925e+36,5618368213234358.0,7.005334395929498e+50,935708214.9215888
1.6681005372000557e+17,0.55,2.273325251952414e-10,2.0419113489769703e-11,1.3327092131852934e+36,5404153884664749.0,6.773423161974565e+50,1209681719.6035635
1.6681005372000557e+17,0.66,2.1693946094261367e-10,3.081217774239741e-11,1.256260822127276e+36,5094154624942431.0,6.463759500462955e+50,1521161703.6666923
1.6681005372000557e+17,0.77,2.0291402845238508e-10,4.4837610232626014e-11,1.1406787429561556e+36,4625467730629354.0,6.045868619233201e+50,1897355263.8838003
1.6681005372000557e+17,0.88,1.827135735499063e-10,6.503806513510477e-11,9.430258683090251e+35,3823982650634686.5,5.443991571497241e+50,2408140738.814999
1.6681005372000557e+17,0.99,1.4135065411980066e-10,1.0640098456521042e-10,3.620375237682167e+35,1468067055520829.0,4.211574185229498e+50,3501929319.5521164
2.154434690031878e+18,0.0,3.1998354595051434e-09,0.0,8.777808709762092e+33,35594133039965.35,1.2313609885556883e+53,0.0
2.154434690031878e+18,0.11,3.190126498247673e-09,9.708961257470537e-12,8.751093968282284e+33,35485804401941.71,1.2276247851529994e+53,17240695.637057442
2.154434690031878e+18,0.22,3.1606372701136687e-09,3.919818939147448e-11,8.668946420659547e+33,35152694985267.05,1.2162767375529368e+53,34803107.91755106
2.154434690031878e+18,0.33,3.1102095594250258e-09,8.962590008011778e-11,8.524861443247689e+33,34568428453079.535,1.1968711410871203e+53,53051087.66706479
2.154434690031878e+18,0.44,3.0366402877748046e-09,1.631951717303386e-10,8.306071571328946e+33,33681232563265.74,1.1685602069116022e+53,72448488.84001735
2.154434690031878e+18,0.55,2.936112467629014e-09,2.6372299187612925e-10,7.989381835595329e+33,32397051401564.457,1.1298750815173066e+53,93661262.30922945
2.154434690031878e+18,0.66,2.8018808810894197e-09,3.979545784157239e-10,7.53108577158028e+33,30538654663423.848,1.0782200695054222e+53,117778026.26344712
2.154434690031878e+18,0.77,2.6207354547449834e-09,5.791000047601599e-10,6.838189410758241e+33,27728950548707.965,1.0085116691583862e+53,146905327.3969094
2.154434690031878e+18,0.88,2.3598365471205364e-09,8.39998912384607e-10,5.653291556946055e+33,22924173725483.766,9.081125264927127e+52,186453591.68493527
2.154434690031878e+18,0.99,1.8256138997806305e-09,1.3742215597245128e-09,2.1703579352351512e+33,8800830781968.393,7.025329160839211e+52,271141669.14454377
2.7825594022071144e+19,0.0,4.1327464158266113e-08,0.0,5.262158073814808e+31,213381221612.16318,2.0540339264969353e+55,0.0
2.7825594022071144e+19,0.11,4.120206810166883e-08,1.2539605659728566e-10,5.246143007046321e+31,212731808488.6264,2.0478015635938216e+55,1334884.4495932548
2.7825594022071144e+19,0.22,4.082120007448862e-08,5.062640837774872e-10,5.196896846044166e+31,210734869999.33255,2.0288718792959848e+55,2694678.25049918
2.7825594022071144e+19,0.33,4.016990114601478e-08,1.1575630122513315e-09,5.110520171378195e+31,207232284158.9837,1.9965013934066695e+55,4107553.050734094
2.7825594022071144e+19,0.44,3.9219717464462465e-08,2.1077466938036513e-09,4.979359089033609e+31,201913684530.07294,1.949275908899853e+55,5609423.377395441
2.7825594022071144e+19,0.55,3.7921350740122737e-08,3.406113418143377e-09,4.789508580223638e+31,194215220720.111,1.884745230447977e+55,7251851.3880107105
2.7825594022071144e+19,0.66,3.618768313382644e-08,5.139781024439671e-09,4.5147673078634565e+31,183074424966.51715,1.798579477161876e+55,9119124.835365117
2.7825594022071144e+19,0.77,3.38480999866851e-08,7.479364171581018e-09,4.099386852447332e+31,166230691318.2321,1.6822988570956288e+55,11374345.979580784
2.7825594022071144e+19,0.88,3.047846101923406e-08,1.084900313903205e-08,3.3890592508502093e+31,137426811000.02821,1.5148229932805936e+55,14436424.454710128
2.7825594022071144e+19,0.99,2.357871020708189e-08,1.7748753951184224e-08,1.3010953997282189e+31,52759594435.12219,1.1718955347203115e+55,20993514.72801622
3.5938136638046405e+20,0.0,5.337647248952361e-07,0.0,3.154580887940586e+29,1279186816.7030554,3.4263350962167345e+57,0.0
3.5938136638046405e+20,0.11,5.32145172546312e-07,1.6195523489241583e-09,3.1449801076450722e+29,1275293687.3079486,3.4159388883100235e+57,103355.25498958353
3.5938136638046405e+20,0.22,5.272260728171173e-07,6.538652078118869e-09,3.1154578097356096e+29,1263322355.576075,3.384362271763776e+57,208639.15058722164
3.5938136638046405e+20,0.33,5.188142236881677e-07,1.4950501207068403e-08,3.0636763536784385e+29,1242324905.109283,3.33036504686238e+57,318032.9151869455
3.5938136638046405e+20,0.44,5.065421295320525e-07,2.722259536318358e-08,2.9850473505580744e+29,1210440737.9964414,3.251588190787024e+57,434317.28018997685
3.5938136638046405e+20,0.55,4.89773078453178e-07,4.399164644205808e-08,2.8712349606114614e+29,1164289659.9392169,3.143944531395565e+57,561484.5161937374
3.5938136638046405e+20,0.66,4.673819002915865e-07,6.638282460364961e-08,2.7065318949189472e+29,1097502344.036221,3.000211392050771e+57,706060.7177858668
