step,total_queue,mean_nrci,min_nrci,horizon_radius,leaked_offbits
45,59612.370258713934,0.9664944460798442,2.022103032760029e-09,0.0,62
46,60872.78617063581,0.9664944460754484,2.0212184353333872e-09,0.0,67
47,62140.2555588399,0.9664944460709921,2.0203342248720404e-09,0.0,60
48,63393.7782388983,0.9664944460665512,2.019450401206724e-09,0.0,74
49,64653.35374676317,0.9664944460621488,2.0185669641682463e-09,0.0,68
50,65910.98259806239,0.9664944460577036,2.0176839135874925e-09,0.0,70
51,67164.66472231809,0.9664944460532642,2.0168012492954186e-09,0.0,74
52,68431.39894329009,0.9664944460489227,2.015918971123056e-09,0.0,61
53,69699.18626964948,0.9664944460444972,2.0150370789015107e-09,0.0,60
54,70947.02711122538,0.9664944460400378,2.0141555724619607e-09,0.0,80
55,72209.92010935521,0.9664944460356913,2.0132744516356593e-09,0.0,65
56,73469.86644474906,0.9664944460312467,2.0123937162539335e-09,0.0,68
57,74733.86579737478,0.9664944460268284,2.011513366148183e-09,0.0,64
58,75997.91875933287,0.9664944460223609,2.0106334011498828e-09,0.0,64
59,77241.02453052175,0.9664944460179602,2.00975382109058e-09,0.0,85
60,78480.18293464501,0.9664944460135741,2.0108845051999073e-09,0.0,89
61,79747.39262101162,0.9664944460093007,2.0100048152956194e-09,0.0,61
62,80997.65577448375,0.9664944460048452,2.009125510209998e-09,0.0,78
63,82239.97174297576,0.9664944460004438,2.008246589774719e-09,0.0,86
64,83480.33970599626,0.9664944459961109,2.0073680538215286e-09,0.0,88
65,84734.76014103676,0.9664944459917383,2.006489902182249e-09,0.0,74
66,85976.2337379017,0.966494445987308,2.0056121346887747e-09,0.0,87
67,87226.75936185887,0.9664944459829725,2.0047347511730747e-09,0.0,78
68,88458.33792988426,0.9664944459785605,2.0038577514671904e-09,0.0,97
69,89712.96877024643,0.9664944459742045,2.0029811354032376e-09,0.0,74
70,90957.65246799924,0.9664944459697997,2.002104902813405e-09,0.0,84
71,92197.38857870088,0.966494445965432,2.0012290535299546e-09,0.0,89
72,93446.17704440036,0.966494445961069,2.0003535873852222e-09,0.0,80
73,94692.01755957815,0.9664944459567315,1.9994785042116167e-09,0.0,83
74,95914.91119964846,0.9664944459523046,1.99860380384162e-09,0.0,106
75,97149.85646759058,0.9664944459480023,1.9977294861077884e-09,0.0,94
76,98354.85410320327,0.9664944459436382,1.9968555508427497e-09,0.0,124
77,99585.90159012548,0.9664944459394839,1.9959819978792063e-09,0.0,98
78,100829.00231993255,0.966494445935047,1.995108827049933e-09,0.0,86
79,102060.15584336793,0.9664944459306477,1.994236038187778e-09,0.0,98
80,103294.36136833773,0.9664944459263142,1.9933636311256626e-09,0.0,95
81,104517.61880190749,0.9664944459219884,1.9924916056965816e-09,0.0,106
82,105736.92670084647,0.966494445917783,1.9916199617336023e-09,0.0,110
83,106966.28716735338,0.9664944459134024,1.9907486990698643e-09,0.0,100
84,108182.70004915653,0.9664944459090344,1.989877817538582e-09,0.0,113
85,109403.16373051662,0.9664944459048009,1.9890073169730417e-09,0.0,109
