Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
48,Cd,ELEM_Cd_048,0.58754,7.020105164854323,8,86.6654,0,0,0,0.19275824583266318,112.41,2.0,867.8,106,58,910.6204525517792,8.590758986337539,8.590758986337539,inf,stable,True,100.0,0.09433962264150944,338.9274475341166,False,False,0,0,0.5321116981132075,8.871553707171902,0.11271982710216637,UNSTABLE
49,In,ELEM_In_049,0.608824,6.425105164854323,8,29.8755,2,0,0,0.24149432057282788,114.82,3.0,558.3,108,59,923.1459395093483,8.547647588049522,8.547647588049522,inf,stable,True,100.0,0.09259259259259259,351.1551156582999,False,False,0,0,0.5524514074074075,10.233761209026191,0.097715784018685,PHASE_LOCK
50,Sn,ELEM_Sn_050,0.58754,7.020105164854323,8,39.1069,2,0,0,0.24149432057282788,118.71,4.0,708.6,110,60,939.8172636528385,8.543793305934896,8.543793305934896,inf,stable,True,100.0,0.09090909090909091,363.5561173860148,True,False,1,0,0.5677189571101592,9.206329318763297,0.10862092429845123,UNSTABLE
51,Sb,ELEM_Sb_051,0.613042,6.312105164854323,8,39.1069,2,0,0,0.19275824583266318,121.76,5.0,834.0,113,62,963.3119757597664,8.524884741236871,8.524884741236871,inf,stable,True,100.0,0.09734513274336283,375.01643414724197,False,False,0,0,0.5533653451327433,10.974745222198585,0.09111828837514176,PHASE_LOCK
52,Te,ELEM_Te_052,0.608824,6.425105164854323,12,39.6298,2,0,0,0.3232142749901492,127.6,6.0,869.3,115,63,977.632174510198,8.501149343566938,8.501149343566938,inf,stable,True,100.0,0.09565217391304348,387.7428876765033,False,False,0,0,0.5505886608695653,10.897060546648259,0.09176786673059113,PHASE_LOCK
53,I,ELEM_I_053,0.596086,6.776105164854323,12,112.9669,2,0,0,0.24149432057282788,126.9,7.0,1008.4,117,64,991.7956400802174,8.47688581265143,8.47688581265143,inf,stable,True,100.0,0.09401709401709402,400.63928000398136,False,False,0,0,0.5400437264957265,10.292352362199408,0.09715951852490859,UNSTABLE
54,Xe,ELEM_Xe_054,0.58754,7.020105164854323,8,23.1164,0,0,0,0.24149432057282788,131.29,8.0,1170.4,120,66,1016.9756955754453,8.474797463128711,8.474797463128711,inf,stable,True,100.0,0.1,412.5521120385464,False,False,0,0,0.528786,10.043268347741778,0.09956918060691364,UNSTABLE
55,Cs,ELEM_Cs_055,0.578968,7.272105164854323,12,45.5026,0,0,0,0.24149432057282788,132.91,1.0,375.7,122,67,1028.8950675167946,8.433566127186841,8.433566127186841,inf,stable,True,100.0,0.09836065573770492,425.76776045957655,False,False,0,0,0.5220203278688524,9.713019050022906,0.1029546009175841,UNSTABLE
56,Ba,ELEM_Ba_056,0.600344,6.657105164854324,8,14.8,2,0,0,0.24149432057282788,137.33,2.0,502.9,124,68,1044.7077180647275,8.42506224245748,8.42506224245748,inf,stable,True,100.0,0.0967741935483871,439.1502040103646,False,False,0,0,0.5422461935483871,11.182436533076613,0.08942594908024673,PHASE_LOCK
57,La,ELEM_La_057,0.604591,6.540105164854324,8,29.8755,2,0,0,0.24149432057282788,138.91,2.0,538.1,127,70,1067.471014567223,8.405283579269472,8.405283579269472,inf,stable,True,100.0,0.10236220472440945,451.5070920886762,False,False,0,0,0.5427037322834646,11.740339805638323,0.08517641027048875,PHASE_LOCK
58,Ce,ELEM_Ce_058,0.621423,6.092105164854323,12,39.6298,2,0,0,0.19275824583266318,140.12,2.0,534.4,129,71,1081.054711021654,8.38026907768724,8.38026907768724,inf,stable,True,100.0,0.10077519379844961,465.2030426212455,False,False,0,0,0.558798976744186,13.15859868317242,0.07599593422351483,PHASE_LOCK
59,Pr,ELEM_Pr_059,0.608824,6.425105164854323,12,64.3066,2,0,0,0.3232142749901492,140.91,2.0,527.0,131,72,1094.4838815366866,8.354838790356386,8.354838790356386,inf,stable,True,100.0,0.09923664122137404,479.0628649531735,False,False,0,0,0.5484063511450382,12.413173318355843,0.0805595776642594,PHASE_LOCK
60,Nd,ELEM_Nd_060,0.608824,6.425105164854323,12,64.3066,2,0,0,0.24149432057282788,144.24,2.0,533.1,134,74,1118.832629187148,8.34949723273991,8.34949723273991,inf,stable,True,100.0,0.1044776119402985,491.8559506044529,False,False,0,0,0.5452155223880597,12.697444463051015,0.07875600502998492,PHASE_LOCK
61,Pm,ELEM_Pm_061,0.64599,5.480105164854323,12,45.5026,2,0,0,0.24149432057282788,145.0,2.0,540.0,136,75,1130.123498525072,8.309731606802,8.309731606802,553000000.0,EC,False,8.742725131304699,0.10294117647058823,506.02392391683446,False,False,0,0,0.5794910294117647,16.03156095679332,0.06237695772077973,PHASE_LOCK
62,Sm,ELEM_Sm_062,0.617242,6.201105164854323,12,39.6298,2,0,0,0.24149432057282788,150.36,2.0,544.5,139,77,1154.1490721831933,8.303230735130887,8.303230735130887,inf,stable,True,100.0,0.1079136690647482,519.1021868843616,False,False,0,0,0.5506331510791367,13.835701172472461,0.07227678507465904,PHASE_LOCK
63,Eu,ELEM_Eu_063,0.617242,6.201105164854323,12,34.5376,2,0,0,0.24149432057282788,151.96,2.0,547.1,141,78,1167.1497073331254,8.277657498816492,8.277657498816492,inf,stable,True,100.0,0.10638297872340426,533.5749947720537,False,False,0,0,0.5515779574468085,14.034776009486453,0.07125158244948655,PHASE_LOCK
64,Gd,ELEM_Gd_064,0.63383,5.777105164854324,8,39.1069,2,0,0,0.24149432057282788,157.25,2.0,593.4,143,79,1179.9972301274265,8.251728882009976,8.251728882009976,inf,stable,True,100.0,0.1048951048951049,548.2072545340997,False,False,0,0,0.5673443356643356,15.68911892956436,0.06373844219611426,PHASE_LOCK
