Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
80,Hg,ELEM_Hg_080,0.578968,7.272105164854323,8,14.1969,2,0,0,0.3232142749901492,200.59,2.0,1007.1,182,102,1439.7266841834544,7.910586176832167,7.910586176832167,inf,stable,True,100.0,0.12087912087912088,792.9203238664414,False,False,0,0,0.5089828571428572,14.48991366478827,0.06901352369200692,UNSTABLE
81,Tl,ELEM_Tl_081,0.625582,5.985105164854323,12,34.5376,2,0,0,0.19275824583266318,204.38,3.0,589.4,185,104,1459.4849599755607,7.889107891759788,7.889107891759788,inf,stable,True,100.0,0.12432432432432433,808.5757218271037,False,False,0,0,0.5478069405405405,19.33678136177193,0.05171491476740598,PHASE_LOCK
82,Pb,ELEM_Pb_082,0.591817,6.897105164854323,12,39.6298,2,0,0,0.24149432057282788,207.2,4.0,715.6,187,105,1470.302935140478,7.862582540858171,7.867,inf,stable,True,100.0,0.12299465240641712,825.8248297191711,True,False,1,0,0.5516686696332099,16.04583029470706,0.062321486743497724,UNSTABLE
83,Bi,ELEM_Bi_083,0.600344,6.657105164854324,8,39.1069,2,0,0,0.19275824583266318,208.98,5.0,703.0,190,107,1489.8155913558671,7.841134691346669,7.841134691346669,inf,stable,True,100.0,0.12631578947368421,841.738151431331,False,False,0,0,0.5245110736842106,17.134378558746423,0.058362198347108395,PHASE_LOCK
84,Po,ELEM_Po_084,0.657847,5.201105164854323,12,39.6298,2,0,0,0.24149432057282788,209.0,6.0,812.1,192,108,1502.0350676476762,7.82309931066498,7.82309931066498,3150000000.0,alpha,False,9.4983105537896,0.125,859.2639065483341,False,False,0,0,0.5756161249999999,24.284574142722164,0.041178403793409306,PHASE_LOCK
85,At,ELEM_At_085,0.665553,5.025105164854323,12,64.3066,2,0,0,0.24149432057282788,210.0,7.0,920.0,195,110,1521.292575521419,7.801500387289328,7.801500387289328,28300.0,alpha,False,4.451786435524291,0.1282051282051282,875.4330573710047,False,False,0,0,0.5802256923076923,25.82688933710353,0.03871933576465889,PHASE_LOCK
86,Rn,ELEM_Rn_086,0.641968,5.5771051648543235,12,43.4556,2,0,0,0.24149432057282788,222.0,8.0,1037.0,197,111,1531.677749389756,7.7750139562931775,7.7750139562931775,330000.0,alpha,False,5.518513939877887,0.12690355329949238,893.2332937747955,False,False,0,0,0.5604999796954314,22.676225794874963,0.04409904933236329,PHASE_LOCK
87,Fr,ELEM_Fr_087,0.661721,5.112105164854324,12,39.6298,0,0,0,0.24149432057282788,223.0,1.0,380.0,200,113,1550.6957712529374,7.753478856264687,7.753478856264687,1320.0,alpha/beta,False,3.12057393120585,0.13,909.656246348792,False,False,0,0,0.57569727,25.888395432446337,0.03862734570048649,PHASE_LOCK
88,Ra,ELEM_Ra_088,0.653932,5.292105164854323,12,64.3066,2,0,0,0.19275824583266318,226.0,2.0,509.3,202,114,1562.4418404171197,7.734860596124355,7.734860596124355,50500000000.0,alpha,False,10.703291378118662,0.12871287128712872,927.7288644376657,False,False,0,0,0.5697625346534653,24.96062717673453,0.04006309588775425,PHASE_LOCK
89,Ac,ELEM_Ac_089,0.64599,5.480105164854323,12,45.5026,2,0,0,0.24149432057282788,227.0,2.0,499.0,205,116,1581.211349995571,7.713226097539371,7.713226097539371,687000000.0,alpha/beta,False,8.83695673705955,0.13170731707317074,944.4036549363968,False,False,0,0,0.5609083902439024,24.165220559872285,0.041381786585492894,PHASE_LOCK
90,Th,ELEM_Th_090,0.637914,5.676105164854324,8,14.8,2,0,0,0.24149432057282788,232.04,2.0,587.0,207,117,1591.164122084203,7.68678319847441,7.68678319847441,4.41e+17,alpha,False,17.64443858946784,0.13043478260869565,962.7466179614983,False,False,0,0,0.5547078260869565,23.263874464064653,0.04298510127986998,PHASE_LOCK
91,Pa,ELEM_Pa_091,0.637914,5.676105164854324,12,45.5026,2,0,0,0.24149432057282788,231.04,2.0,568.0,210,119,1609.6994584528745,7.66523551644226,7.66523551644226,1030000000000.0,alpha,False,12.012837224705173,0.13333333333333333,979.6713426381785,False,False,0,0,0.5528588,23.601032064993127,0.04237102840444326,PHASE_LOCK
92,U,ELEM_U_092,0.600344,6.657105164854324,8,61.5162,2,0,0,0.3232142749901492,238.03,2.0,597.6,212,120,1620.9756203389452,7.646111416693138,7.591,1.41e+17,alpha,False,17.14921911265538,0.1320754716981132,998.282673476477,False,False,0,0,0.5210532830188679,19.11835923396969,0.05230574380165375,PHASE_LOCK
93,Np,ELEM_Np_093,0.64599,5.480105164854323,8,39.1069,2,0,0,0.24149432057282788,237.0,2.0,604.5,215,122,1639.268240116613,7.624503442402851,7.624503442402851,67700000000000.0,alpha,False,13.830588668685145,0.13488372093023257,1015.45548547747,False,False,0,0,0.558856465116279,25.344011806695324,0.03945705232570253,PHASE_LOCK
94,Pu,ELEM_Pu_094,0.629719,5.880105164854323,8,14.8,2,0,0,0.24149432057282788,244.0,2.0,584.7,217,123,1648.789329442861,7.598107508953276,7.598107508953276,2520000000000000.0,alpha,False,15.401400540781545,0.1336405529953917,1034.3332636371354,False,False,0,0,0.545563004608295,23.239214124393204,0.043030715008144066,PHASE_LOCK
95,Am,ELEM_Am_095,0.64599,5.480105164854323,8,37.3489,2,0,0,0.24149432057282788,243.0,2.0,578.0,220,125,1666.8524361241912,7.576601982382687,7.576601982382687,232000000000.0,alpha,False,11.3654879848909,0.13636363636363635,1051.752370054928,False,False,0,0,0.5579004545454546,25.933407430106843,0.03856030113648201,PHASE_LOCK
96,Cm,ELEM_Cm_096,0.64599,5.480105164854323,12,64.3066,2,0,0,0.24149432057282788,247.0,2.0,581.0,222,126,1677.6621466422605,7.557036696586759,7.557036696586759,494000000000000.0,alpha,False,14.693726948923647,0.13513513513513514,1070.8947288917027,False,True,1,0,0.5938307626414132,26.16916567947145,0.038212911036153346,PHASE_LOCK
97,Bk,ELEM_Bk_097,0.64599,5.480105164854323,8,86.6654,0,0,0,0.19275824583266318,247.0,2.0,601.0,225,128,1695.4876547861938,7.535500687938639,7.535500687938639,43000000000.0,alpha,False,10.633468455579587,0.13777777777777778,1088.5583880342372,False,False,0,0,0.5569869333333333,26.522803053518363,0.0377034055556713,PHASE_LOCK
98,Cf,ELEM_Cf_098,0.653932,5.292105164854323,8,23.1164,2,0,0,0.24149432057282788,251.0,2.0,608.0,227,129,1704.5780464310058,7.509154389563902,7.509154389563902,28400000000.0,alpha,False,10.453318340047037,0.13656387665198239,1107.9635121597921,False,False,0,0,0.5646285110132159,28.049813708508605,0.03565086065782536,PHASE_LOCK
99,Es,ELEM_Es_099,0.653932,5.292105164854323,8,39.1069,2,0,0,0.24149432057282788,252.0,2.0,619.0,230,131,1722.1781753860005,7.487731197330437,7.487731197330437,,unknown,False,,0.1391304347826087,1125.87003101565,False,False,0,0,0.5629501565217391,28.420516092321492,0.035185849431853725,PHASE_LOCK
100,Fm,ELEM_Fm_100,0.673079,4.857105164854324,12,39.6298,2,0,0,0.24149432057282788,257.0,2.0,627.0,232,132,1732.5248482966415,7.467779518520007,7.467779518520007,,unknown,False,,0.13793103448275862,1145.5361538809843,False,False,0,0,0.5802405172413793,32.14966995771924,0.03110451837655325,PHASE_LOCK
101,Md,ELEM_Md_101,0.673079,4.857105164854324,12,112.9669,2,0,0,0.24149432057282788,258.0,2.0,635.0,235,134,1749.891943325262,7.446348695001115,7.446348695001115,,unknown,False,,0.14042553191489363,1163.6838857622881,False,False,0,0,0.5785615234042553,32.56539844855181,0.030707439418554697,PHASE_LOCK
102,No,ELEM_No_102,0.673079,4.857105164854324,12,45.5026,2,0,0,0.24149432057282788,259.0,2.0,642.0,237,135,1758.5528424203778,7.420054187427755,7.420054187427755,,unknown,False,,0.13924050632911392,1183.6092874010553,False,False,0,0,0.5793591392405063,32.84255077577353,0.030448304908693477,PHASE_LOCK
103,Lr,ELEM_Lr_103,0.673079,4.857105164854324,8,39.1069,2,0,0,0.24149432057282788,266.0,3.0,470.0,240,137,1775.6982625159394,7.39874276048308,7.39874276048308,,unknown,False,,0.14166666666666666,1201.9966297480094,False,False,0,0,0.5777261416666667,33.25827926660611,0.03006770109733481,PHASE_LOCK
104,Rf,ELEM_Rf_104,0.661721,5.112105164854324,8,54.4316,2,0,0,0.19275824583266318,267.0,2.0,580.0,242,138,1785.5852686484156,7.37845152334056,7.37845152334056,,unknown,False,,0.14049586776859505,1222.1796346662315,False,False,0,0,0.5687519338842976,31.32495847326007,0.03192342619874916,PHASE_LOCK
105,Db,ELEM_Db_105,0.665553,5.025105164854323,12,45.5026,2,0,0,0.3232142749901492,268.0,2.0,665.0,245,140,1802.5017620842877,7.357150049323623,7.357150049323623,,unknown,False,,0.14285714285714285,1240.8050269990022,False,False,0,0,0.570474,32.44916865430957,0.030817430506565234,PHASE_LOCK
106,Sg,ELEM_Sg_106,0.680406,4.697105164854324,8,61.5162,0,0,0,0.24149432057282788,269.0,2.0,757.0,248,142,1820.6908245716252,7.341495260369457,7.341495260369457,,unknown,False,,0.14516129032258066,1259.5464981258892,False,False,0,0,0.5816373870967741,35.92440068461472,0.02783623333842472,PHASE_LOCK
107,Bh,ELEM_Bh_107,0.665553,5.025105164854323,8,37.3489,2,0,0,0.19275824583266318,270.0,2.0,740.0,250,143,1827.4327223851394,7.309730889540558,7.309730889540558,,unknown,False,,0.144,1280.1059242041981,False,False,0,0,0.5697133679999999,33.11139658603017,0.03020108189643393,PHASE_LOCK
108,Hs,ELEM_Hs_108,0.665553,5.025105164854323,8,23.1164,2,0,0,0.24149432057282788,277.0,2.0,730.0,253,145,1845.3911527682073,7.294036176949436,7.294036176949436,,unknown,False,,0.14624505928853754,1299.083181306005,False,False,0,0,0.5682191620553358,33.50873334506253,0.029842966300824045,PHASE_LOCK
109,Mt,ELEM_Mt_109,0.669339,4.940105164854323,12,112.9669,0,0,0,0.24149432057282788,278.0,2.0,800.0,255,146,1853.3363540479627,7.267985702148874,7.267985702148874,,unknown,False,,0.1450980392156863,1319.8962470721797,False,False,0,0,0.5722192235294118,34.550164278746315,0.028943422437361737,PHASE_LOCK
110,Ds,ELEM_Ds_110,0.669339,4.940105164854323,8,29.8755,2,0,0,0.24149432057282788,281.0,2.0,820.0,258,148,1871.0577519205583,7.2521618291494505,7.2521618291494505,,unknown,False,,0.14728682170542637,1339.1078271078204,False,False,0,0,0.5707541860465116,34.956636799672744,0.028606871013671483,PHASE_LOCK
111,Rg,ELEM_Rg_111,0.665553,5.025105164854323,12,43.4556,2,0,0,0.24149432057282788,282.0,1.0,830.0,260,149,1877.4002670486054,7.220770257879252,7.220770257879252,,unknown,False,,0.14615384615384616,1360.1729969145065,False,False,0,0,0.5682798692307691,34.43585244947137,0.029039501823494164,PHASE_LOCK
112,Cn,ELEM_Cn_112,0.661721,5.112105164854324,8,14.8,2,0,0,0.19275824583266318,285.0,2.0,1155.0,263,151,1894.8947250594538,7.204922908971307,7.204922908971307,,unknown,False,,0.1482889733840304,1379.6174727077528,False,False,0,0,0.5635950722433459,34.04323999366694,0.029374407376795808,PHASE_LOCK
113,Nh,ELEM_Nh_113,0.676768,4.776105164854323,8,23.1164,2,0,0,0.19275824583266318,286.0,3.0,707.0,266,153,1910.8623794901887,7.183693155978153,7.183693155978153,,unknown,False,,0.15037593984962405,1399.1754874390417,False,False,0,0,0.5749983759398497,37.69186016352947,0.026530927252234607,PHASE_LOCK
114,Fl,ELEM_Fl_114,0.680406,4.697105164854324,8,37.3489,2,0,0,0.24149432057282788,289.0,4.0,832.0,268,154,1919.6751934179997,7.1629671396194015,7.1629671396194015,,unknown,False,,0.14925373134328357,1420.6092261554113,False,False,0,0,0.5788528656716417,38.82152977208365,0.02575890249227362,PHASE_LOCK
115,Mc,ELEM_Mc_115,0.669339,4.940105164854323,12,64.3066,2,0,0,0.3232142749901492,290.0,5.0,538.0,271,156,1935.4245675823022,7.141788072259418,7.141788072259418,,unknown,False,,0.15129151291512916,1440.3980633991962,False,False,0,0,0.5680736900369004,36.71801772368726,0.027234585688292408,PHASE_LOCK
116,Lv,ELEM_Lv_116,0.661721,5.112105164854324,8,54.4316,0,0,0,0.3232142749901492,293.0,6.0,664.0,273,157,1942.6563696127487,7.115957397848896,7.115957397848896,,unknown,False,,0.15018315018315018,1462.0802634485522,False,False,0,0,0.5623416556776557,35.33765976528925,0.028298421758598157,PHASE_LOCK
117,Ts,ELEM_Ts_117,0.673079,4.857105164854324,8,37.3489,2,0,0,0.24149432057282788,294.0,7.0,743.0,276,159,1958.1963842741877,7.094914435776042,7.094914435776042,,unknown,False,,0.15217391304347827,1482.0985794423714,False,False,0,0,0.5706539347826087,38.24702115659702,0.026145827041160703,PHASE_LOCK
118,Og,ELEM_Og_118,0.68399,4.620105164854324,12,64.3066,2,0,0,0.24149432057282788,294.0,8.0,839.0,279,161,1974.939539673785,7.078636342916792,7.078636342916792,,unknown,False,,0.15412186379928317,1502.22874771447,False,False,0,0,0.5785721863799282,41.30494938766554,0.02421017371585545,PHASE_LOCK
