Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
49,In,ELEM_In_049,0.608824,6.425105164854323,8,29.8755,2,0,0,0.24149432057282788,0,0.5524514074074075,10.233761209026191,0.097715784018685,PHASE_LOCK
50,Sn,ELEM_Sn_050,0.58754,7.020105164854323,8,39.1069,2,0,0,0.24149432057282788,0,0.5677189571101592,9.206329318763297,0.10862092429845123,UNSTABLE
51,Sb,ELEM_Sb_051,0.613042,6.312105164854323,8,39.1069,2,0,0,0.19275824583266318,0,0.5533653451327433,10.974745222198585,0.09111828837514176,PHASE_LOCK
52,Te,ELEM_Te_052,0.608824,6.425105164854323,12,39.6298,2,0,0,0.3232142749901492,0,0.5505886608695653,10.897060546648259,0.09176786673059113,PHASE_LOCK
53,I,ELEM_I_053,0.596086,6.776105164854323,12,112.9669,2,0,0,0.24149432057282788,0,0.5400437264957265,10.292352362199408,0.09715951852490859,UNSTABLE
54,Xe,ELEM_Xe_054,0.58754,7.020105164854323,8,23.1164,0,0,0,0.24149432057282788,0,0.528786,10.043268347741778,0.09956918060691364,UNSTABLE
55,Cs,ELEM_Cs_055,0.578968,7.272105164854323,12,45.5026,0,0,0,0.24149432057282788,0,0.5220203278688524,9.713019050022906,0.1029546009175841,UNSTABLE
56,Ba,ELEM_Ba_056,0.600344,6.657105164854324,8,14.8,2,0,0,0.24149432057282788,0,0.5422461935483871,11.182436533076613,0.08942594908024673,PHASE_LOCK
57,La,ELEM_La_057,0.604591,6.540105164854324,8,29.8755,2,0,0,0.24149432057282788,0,0.5427037322834646,11.740339805638323,0.08517641027048875,PHASE_LOCK
58,Ce,ELEM_Ce_058,0.621423,6.092105164854323,12,39.6298,2,0,0,0.19275824583266318,0,0.558798976744186,13.15859868317242,0.07599593422351483,PHASE_LOCK
59,Pr,ELEM_Pr_059,0.608824,6.425105164854323,12,64.3066,2,0,0,0.3232142749901492,0,0.5484063511450382,12.413173318355843,0.0805595776642594,PHASE_LOCK
60,Nd,ELEM_Nd_060,0.608824,6.425105164854323,12,64.3066,2,0,0,0.24149432057282788,0,0.5452155223880597,12.697444463051015,0.07875600502998492,PHASE_LOCK
61,Pm,ELEM_Pm_061,0.64599,5.480105164854323,12,45.5026,2,0,0,0.24149432057282788,0,0.5794910294117647,16.03156095679332,0.06237695772077973,PHASE_LOCK
62,Sm,ELEM_Sm_062,0.617242,6.201105164854323,12,39.6298,2,0,0,0.24149432057282788,0,0.5506331510791367,13.835701172472461,0.07227678507465904,PHASE_LOCK
63,Eu,ELEM_Eu_063,0.617242,6.201105164854323,12,34.5376,2,0,0,0.24149432057282788,0,0.5515779574468085,14.034776009486453,0.07125158244948655,PHASE_LOCK
64,Gd,ELEM_Gd_064,0.63383,5.777105164854324,8,39.1069,2,0,0,0.24149432057282788,0,0.5673443356643356,15.68911892956436,0.06373844219611426,PHASE_LOCK
65,Tb,ELEM_Tb_065,0.613042,6.312105164854323,12,43.4556,2,0,0,0.24149432057282788,0,0.5458593150684932,14.17975931363711,0.07052305881089739,PHASE_LOCK
66,Dy,ELEM_Dy_066,0.64599,5.480105164854323,8,37.3489,2,0,0,0.24149432057282788,0,0.6123879739739574,17.446110452980967,0.05731936655423002,PHASE_LOCK
67,Ho,ELEM_Ho_067,0.613042,6.312105164854323,8,29.8755,2,0,0,0.24149432057282788,0,0.5440240264900662,14.665367509309617,0.06818785818801999,PHASE_LOCK
68,Er,ELEM_Er_068,0.613042,6.312105164854323,8,23.1164,2,0,0,0.24149432057282788,0,0.5449262222222222,14.859610787578617,0.06729651363654261,PHASE_LOCK
69,Tm,ELEM_Tm_069,0.608824,6.425105164854323,8,37.3489,2,0,0,0.24149432057282788,0,0.5420497548387098,14.687342475917218,0.06808583660656761,PHASE_LOCK
70,Yb,ELEM_Yb_070,0.617242,6.201105164854323,8,37.3489,0,0,0,0.3232142749901492,0,0.5469232911392405,15.726912124105386,0.06358527294542789,PHASE_LOCK
71,Lu,ELEM_Lu_071,0.608824,6.425105164854323,12,34.5376,2,0,0,0.24149432057282788,0,0.5403313,15.161127717075837,0.06595815421261238,PHASE_LOCK
72,Hf,ELEM_Hf_072,0.608824,6.425105164854323,8,58.3736,2,0,0,0.24149432057282788,0,0.5378567852760736,15.44539886177101,0.06474420045409804,PHASE_LOCK
73,Ta,ELEM_Ta_073,0.637914,5.676105164854324,8,23.1164,2,0,0,0.3232142749901492,0,0.5644572363636363,18.543668051066028,0.05392676342383688,PHASE_LOCK
74,W,ELEM_W_074,0.64599,5.480105164854323,8,54.4316,2,0,0,0.19275824583266318,0,0.5690864285714285,19.803692946627045,0.050495632440631204,PHASE_LOCK
75,Re,ELEM_Re_075,0.625582,5.985105164854323,12,67.0331,0,0,0,0.24149432057282788,0,0.5519841176470588,17.768934224330966,0.056277995482177094,PHASE_LOCK
76,Os,ELEM_Os_076,0.617242,6.201105164854323,8,72.5198,2,0,0,0.24149432057282788,0,0.5454696744186046,17.120435983203336,0.05840972747312561,PHASE_LOCK
77,Ir,ELEM_Ir_077,0.629719,5.880105164854323,8,58.3736,0,0,0,0.24149432057282788,0,0.55415272,18.741301713220324,0.05335808661009864,PHASE_LOCK
78,Pt,ELEM_Pt_078,0.621423,6.092105164854323,8,39.1069,0,0,0,0.24149432057282788,0,0.5476948474576271,18.05482144900402,0.05538686731544301,PHASE_LOCK
79,Au,ELEM_Au_079,0.574676,7.401105164854323,12,43.4556,2,0,0,0.24149432057282788,0,0.5044378222222222,13.976518059926264,0.07154857853095893,UNSTABLE
80,Hg,ELEM_Hg_080,0.578968,7.272105164854323,8,14.1969,2,0,0,0.3232142749901492,0,0.5089828571428572,14.48991366478827,0.06901352369200692,UNSTABLE
81,Tl,ELEM_Tl_081,0.625582,5.985105164854323,12,34.5376,2,0,0,0.19275824583266318,0,0.5478069405405405,19.33678136177193,0.05171491476740598,PHASE_LOCK
82,Pb,ELEM_Pb_082,0.591817,6.897105164854323,12,39.6298,2,0,0,0.24149432057282788,0,0.5516686696332099,16.04583029470706,0.062321486743497724,UNSTABLE
83,Bi,ELEM_Bi_083,0.600344,6.657105164854324,8,39.1069,2,0,0,0.19275824583266318,0,0.5245110736842106,17.134378558746423,0.058362198347108395,PHASE_LOCK
84,Po,ELEM_Po_084,0.657847,5.201105164854323,12,39.6298,2,0,0,0.24149432057282788,0,0.5756161249999999,24.284574142722164,0.041178403793409306,PHASE_LOCK
85,At,ELEM_At_085,0.665553,5.025105164854323,12,64.3066,2,0,0,0.24149432057282788,0,0.5802256923076923,25.82688933710353,0.03871933576465889,PHASE_LOCK
86,Rn,ELEM_Rn_086,0.641968,5.5771051648543235,12,43.4556,2,0,0,0.24149432057282788,0,0.5604999796954314,22.676225794874963,0.04409904933236329,PHASE_LOCK
87,Fr,ELEM_Fr_087,0.661721,5.112105164854324,12,39.6298,0,0,0,0.24149432057282788,0,0.57569727,25.888395432446337,0.03862734570048649,PHASE_LOCK
88,Ra,ELEM_Ra_088,0.653932,5.292105164854323,12,64.3066,2,0,0,0.19275824583266318,0,0.5697625346534653,24.96062717673453,0.04006309588775425,PHASE_LOCK
89,Ac,ELEM_Ac_089,0.64599,5.480105164854323,12,45.5026,2,0,0,0.24149432057282788,0,0.5609083902439024,24.165220559872285,0.041381786585492894,PHASE_LOCK
90,Th,ELEM_Th_090,0.637914,5.676105164854324,8,14.8,2,0,0,0.24149432057282788,0,0.5547078260869565,23.263874464064653,0.04298510127986998,PHASE_LOCK
91,Pa,ELEM_Pa_091,0.637914,5.676105164854324,12,45.5026,2,0,0,0.24149432057282788,0,0.5528588,23.601032064993127,0.04237102840444326,PHASE_LOCK
92,U,ELEM_U_092,0.600344,6.657105164854324,8,61.5162,2,0,0,0.3232142749901492,0,0.5210532830188679,19.11835923396969,0.05230574380165375,PHASE_LOCK
93,Np,ELEM_Np_093,0.64599,5.480105164854323,8,39.1069,2,0,0,0.24149432057282788,0,0.558856465116279,25.344011806695324,0.03945705232570253,PHASE_LOCK
94,Pu,ELEM_Pu_094,0.629719,5.880105164854323,8,14.8,2,0,0,0.24149432057282788,0,0.545563004608295,23.239214124393204,0.043030715008144066,PHASE_LOCK
95,Am,ELEM_Am_095,0.64599,5.480105164854323,8,37.3489,2,0,0,0.24149432057282788,0,0.5579004545454546,25.933407430106843,0.03856030113648201,PHASE_LOCK
96,Cm,ELEM_Cm_096,0.64599,5.480105164854323,12,64.3066,2,0,0,0.24149432057282788,0,0.5938307626414132,26.16916567947145,0.038212911036153346,PHASE_LOCK
97,Bk,ELEM_Bk_097,0.64599,5.480105164854323,8,86.6654,0,0,0,0.19275824583266318,0,0.5569869333333333,26.522803053518363,0.0377034055556713,PHASE_LOCK
98,Cf,ELEM_Cf_098,0.653932,5.292105164854323,8,23.1164,2,0,0,0.24149432057282788,0,0.5646285110132159,28.049813708508605,0.03565086065782536,PHASE_LOCK
99,Es,ELEM_Es_099,0.653932,5.292105164854323,8,39.1069,2,0,0,0.24149432057282788,0,0.5629501565217391,28.420516092321492,0.035185849431853725,PHASE_LOCK
100,Fm,ELEM_Fm_100,0.673079,4.857105164854324,12,39.6298,2,0,0,0.24149432057282788,0,0.5802405172413793,32.14966995771924,0.03110451837655325,PHASE_LOCK
101,Md,ELEM_Md_101,0.673079,4.857105164854324,12,112.9669,2,0,0,0.24149432057282788,0,0.5785615234042553,32.56539844855181,0.030707439418554697,PHASE_LOCK
102,No,ELEM_No_102,0.673079,4.857105164854324,12,45.5026,2,0,0,0.24149432057282788,0,0.5793591392405063,32.84255077577353,0.030448304908693477,PHASE_LOCK
103,Lr,ELEM_Lr_103,0.673079,4.857105164854324,8,39.1069,2,0,0,0.24149432057282788,0,0.5777261416666667,33.25827926660611,0.03006770109733481,PHASE_LOCK
104,Rf,ELEM_Rf_104,0.661721,5.112105164854324,8,54.4316,2,0,0,0.19275824583266318,0,0.5687519338842976,31.32495847326007,0.03192342619874916,PHASE_LOCK
105,Db,ELEM_Db_105,0.665553,5.025105164854323,12,45.5026,2,0,0,0.3232142749901492,0,0.570474,32.44916865430957,0.030817430506565234,PHASE_LOCK
106,Sg,ELEM_Sg_106,0.680406,4.697105164854324,8,61.5162,0,0,0,0.24149432057282788,0,0.5816373870967741,35.92440068461472,0.02783623333842472,PHASE_LOCK
