ubp_id,Z,symbol,fingerprint,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,bp_K,mp_K,en,phase_STP,crystal,vector
ELEM_Fe_026,26,Fe,1e46f0a7a37380517a16bf31e0a0d343a3dd1690f8d5e1dcd86cf61782657ca3,0.600344,6.657105164854324,8,39.1069,0,0,0,0.24149432057282788,55.845,2.0,762.5,3134.0,1811.0,1.83,3.0,3.0,"[0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
ELEM_Co_027,27,Co,87aea5804b73fadb641ce39e0422ac2a4b21f9155e8e426a822b4743d4443ae9,0.617242,6.201105164854323,8,58.3736,0,0,0,0.24149432057282788,58.933,2.0,760.4,3200.0,1768.0,1.88,3.0,1.0,"[0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]"
ELEM_Ni_028,28,Ni,ac3001882fc69f5543ef27d6bcd99983b531e209f59645dede9fed8ee462fc32,0.591817,6.897105164854323,12,45.5026,2,0,0,0.24149432057282788,58.693,2.0,737.1,3186.0,1728.0,1.91,3.0,2.0,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
ELEM_Cu_029,29,Cu,4fd69e51d051e1c13cfe7436e20b543b78482de288390a05b53f6052e6563432,0.591817,6.897105164854323,8,58.3736,2,0,0,0.24149432057282788,63.546,1.0,745.5,2835.0,1357.77,1.9,3.0,2.0,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0]"
ELEM_Zn_030,30,Zn,f8ec0979a612d8fcb3978028dd6bcc97b324cb047bd6487c97bc5d0a2b6c1472,0.600344,6.657105164854324,12,112.9669,2,0,0,0.24149432057282788,65.38,2.0,906.4,1180.0,692.68,1.65,3.0,1.0,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
ELEM_Ga_031,31,Ga,e7461e9463c4990254c1d4d4c575531a9d4215935f3d793ff1a73bb9af4e4330,0.570382,7.532105164854324,8,39.1069,0,0,0,0.3232142749901492,69.723,3.0,578.8,2477.0,302.91,1.81,3.0,4.0,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
ELEM_Ge_032,32,Ge,10dc3cb16ab7ad5ee3a111049b91d55799909caf7d1c1936554398acaee95baf,0.591817,6.897105164854323,8,86.6654,0,0,0,0.24149432057282788,72.63,4.0,762.2,3106.0,1211.4,2.01,3.0,2.0,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
ELEM_As_033,33,As,2cb9595e9732701adb91f475a79ef8375dd111ca3d57845590d8e68b2a13fdea,0.625582,5.985105164854323,12,39.6298,2,0,0,0.3232142749901492,74.922,5.0,947.0,887.0,1090.0,2.18,3.0,7.0,"[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1]"
ELEM_Se_034,34,Se,6024fe667716e21192fda2084e03ace5f30cb8faafbd4f99418bd1049a679806,0.621423,6.092105164854323,8,37.3489,2,0,0,0.24149432057282788,78.971,6.0,941.0,958.0,494.0,2.55,3.0,1.0,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
ELEM_Br_035,35,Br,66e852181458f9a8a00c4457a2026838475beee91ad0376ea1d036befe8f5969,0.600344,6.657105164854324,12,34.5376,2,0,0,0.24149432057282788,79.904,7.0,1139.9,332.0,265.8,2.96,2.0,4.0,"[1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
ELEM_Kr_036,36,Kr,cf0561d78eeba1b497a417601a82d85582cd715fd1c667dd9b72f3840093be6d,0.583257,7.145105164854323,8,23.1164,2,0,0,0.19275824583266318,83.798,8.0,1350.8,119.93,115.79,3.0,1.0,2.0,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
ELEM_Rb_037,37,Rb,6676f08fcaea37e7fa57351627334afaf06cb72b0e7ccf03c636bf6da502a924,0.613042,6.312105164854323,12,39.6298,0,0,0,0.24149432057282788,85.468,1.0,403.0,961.0,312.46,0.82,3.0,3.0,"[0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
ELEM_Sr_038,38,Sr,a49f4d5a7cd676e3cb4aa4740d389f2acdbe2ab5270bf2856cb568f1b509b439,0.629719,5.880105164854323,8,23.1164,2,0,0,0.24149432057282788,87.62,2.0,549.5,1655.0,1050.0,0.95,3.0,2.0,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]"
ELEM_Y_039,39,Y,6e0f887704d788b9dd05442e24c422b29562772ff6de249e122f1724f67db5a3,0.617242,6.201105164854323,8,29.8755,2,0,0,0.3232142749901492,88.906,2.0,600.0,3609.0,1799.0,1.22,3.0,1.0,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
ELEM_Zr_040,40,Zr,5b1c79b1208e5896948e569d66a00508bb2d081a66b3c9727dd2dd214198b4f3,0.596086,6.776105164854323,8,29.8755,2,0,0,0.24149432057282788,91.224,2.0,640.1,4682.0,2128.0,1.33,3.0,1.0,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
ELEM_Nb_041,41,Nb,d12e0596280a393d4cf3820b18a9f8e174d673211c3116cb720c18d26f90e857,0.617242,6.201105164854323,12,39.6298,2,0,0,0.3232142749901492,92.906,1.0,652.1,5017.0,2750.0,1.6,3.0,3.0,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
ELEM_Mo_042,42,Mo,0bb76efb3a3524f22da19c5b177719790f2a441312ed102b1e6d2bfab564530e,0.621423,6.092105164854323,12,34.5376,2,0,0,0.24149432057282788,95.95,1.0,684.3,4912.0,2896.0,2.16,3.0,3.0,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0]"
ELEM_Tc_043,43,Tc,8dcd192dd29b7668dd9bf62a130f98ab30412fbdcd8747b7bd8cb9220b4ca65a,0.665553,5.025105164854323,8,37.3489,2,0,0,0.24149432057282788,98.0,2.0,702.0,4538.0,2430.0,1.9,3.0,1.0,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]"
ELEM_Ru_044,44,Ru,07faee269f39b8be7157479951ba0235bde850fc78e7acbebf3e0de8d96395d9,0.613042,6.312105164854323,12,39.6298,0,0,0,0.19275824583266318,101.07,1.0,710.2,4423.0,2607.0,2.2,3.0,1.0,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]"
ELEM_Rh_045,45,Rh,15d2d649d4eef006fabb1982fa55fee057e2d9e8c497c0c3b7f362b32191bbf5,0.604591,6.540105164854324,12,34.5376,2,0,0,0.24149432057282788,102.91,1.0,719.7,3968.0,2237.0,2.28,3.0,2.0,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]"
ELEM_Pd_046,46,Pd,b3105372b151271f79399e9038593e5ae71532dfb46999b89464619fccfbfe2b,0.613042,6.312105164854323,8,14.1969,0,0,0,0.3232142749901492,106.42,0.0,804.4,3236.0,1828.05,2.2,3.0,2.0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1]"
ELEM_Ag_047,47,Ag,ac14fe24edc9e24f132b780cb69d78f5708951e9b12393e47450cfd11ac126f0,0.578968,7.272105164854323,8,37.3489,2,0,0,0.24149432057282788,107.87,1.0,731.0,2435.0,1234.93,1.93,3.0,2.0,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
ELEM_Cd_048,48,Cd,88116aa3d69c6a5fb4dbda7feca57fc4758320b61ae659d1e3b5f7425e62185e,0.58754,7.020105164854323,8,86.6654,0,0,0,0.19275824583266318,112.41,2.0,867.8,1040.0,594.22,1.69,3.0,1.0,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
ELEM_In_049,49,In,da0300cc8dc142563be875b19636699d1061edb2550252c40549cd08aad043f9,0.608824,6.425105164854323,8,29.8755,2,0,0,0.24149432057282788,114.82,3.0,558.3,2345.0,429.75,1.78,3.0,5.0,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
ELEM_Sn_050,50,Sn,87892a590c63cf521d1809cb4d59248c2459d4d9fe0e643c5e7a7ae21258a1d7,0.58754,7.020105164854323,8,39.1069,2,0,0,0.24149432057282788,118.71,4.0,708.6,2875.0,505.08,1.96,3.0,5.0,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]"
ELEM_Sb_051,51,Sb,199bf1a3f2dba5e4b8d84cb86e69a6d20ad4c2f3a4e5da9e6e7c2f3da8afc429,0.613042,6.312105164854323,8,39.1069,2,0,0,0.19275824583266318,121.76,5.0,834.0,1860.0,903.78,2.05,3.0,7.0,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
ELEM_Te_052,52,Te,82c2ffcfde7e1fe075dd3df2e3ebdb76e4d08da0e7da13110bfb4f804fc9b917,0.608824,6.425105164854323,12,39.6298,2,0,0,0.3232142749901492,127.6,6.0,869.3,1261.0,722.66,2.1,3.0,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
ELEM_I_053,53,I,e13ef8003cfe9dd6136f56b0a02b45f14a2343660329897a97507cb98aee6d26,0.596086,6.776105164854323,12,112.9669,2,0,0,0.24149432057282788,126.9,7.0,1008.4,457.4,386.85,2.66,3.0,4.0,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
ELEM_Xe_054,54,Xe,8429c35c7aad101f2e0c66bb0bda73e3005b97ccd6e477e43c709b23c320d362,0.58754,7.020105164854323,8,23.1164,0,0,0,0.24149432057282788,131.29,8.0,1170.4,165.03,161.4,2.6,1.0,2.0,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]"
