strategy,property,metric,spearman_rho,spearman_p,pearson_r,pearson_p,r_squared,n_samples,p_adjusted_fdr,significant_fdr,p_adjusted_bonferroni
Strategy3_BasinAttraction,toxicity_diff,weighted_hamming,0.18942943263712717,0.0,0.1933462883746424,0.0,0.0358835099492239,93476,0.0,True,0.0
Strategy3_BasinAttraction,toxicity_diff,normalized_hamming,0.14078137069759625,0.0,0.1327822557689638,0.0,0.01981939433549401,93476,0.0,True,0.0
Strategy4_MOGAligned,persistence_diff,jaccard_offbits,0.4819982970053603,0.0,0.4990387299099596,0.0,0.2323223583160675,93476,0.0,True,0.0
Strategy4_MOGAligned,persistence_diff,jaccard_onbits,0.4422319480580948,0.0,0.45763465130014314,0.0,0.19556909588325744,93476,0.0,True,0.0
Strategy4_MOGAligned,persistence_diff,jaccard_balanced,0.5626773959158906,0.0,0.574931581542311,0.0,0.3166058518746879,93476,0.0,True,0.0
Strategy4_MOGAligned,persistence_diff,hamming_distance,0.5705152948827736,0.0,0.6036575392262813,0.0,0.32548770169517816,93476,0.0,True,0.0
Strategy4_MOGAligned,persistence_diff,weighted_hamming,0.5591695179589193,0.0,0.5936769795348315,0.0,0.3126705498144102,93476,0.0,True,0.0
Strategy4_MOGAligned,persistence_diff,normalized_hamming,0.5705152948827736,0.0,0.6036575392262813,0.0,0.32548770169517816,93476,0.0,True,0.0
Strategy4_MOGAligned,biodegradability_diff,jaccard_offbits,0.5146827929271913,0.0,0.5376113155724904,0.0,0.2648983773353341,93476,0.0,True,0.0
Strategy4_MOGAligned,biodegradability_diff,jaccard_onbits,0.4229362519353654,0.0,0.43891145632145223,0.0,0.17887507320113485,93476,0.0,True,0.0
Strategy4_MOGAligned,biodegradability_diff,jaccard_balanced,0.5721275554378735,0.0,0.5874906209441084,0.0,0.327329939691317,93476,0.0,True,0.0
Strategy4_MOGAligned,biodegradability_diff,hamming_distance,0.578845187516454,0.0,0.6181696515637853,0.0,0.33506175111095876,93476,0.0,True,0.0
Strategy4_MOGAligned,biodegradability_diff,weighted_hamming,0.5546590399152013,0.0,0.5945295306044106,0.0,0.30764665055965285,93476,0.0,True,0.0
Strategy4_MOGAligned,biodegradability_diff,normalized_hamming,0.578845187516454,0.0,0.6181696515637854,0.0,0.33506175111095876,93476,0.0,True,0.0
Strategy4_MOGAligned,toxicity_diff,jaccard_offbits,0.5012247044700036,0.0,0.514427028462699,0.0,0.2512262043710424,93476,0.0,True,0.0
Strategy4_MOGAligned,toxicity_diff,jaccard_onbits,0.35314760302412934,0.0,0.36724993637260495,0.0,0.12471322952168805,93476,0.0,True,0.0
Strategy4_MOGAligned,toxicity_diff,jaccard_balanced,0.5190741548522312,0.0,0.5310782978255301,0.0,0.2694379782355581,93476,0.0,True,0.0
Strategy4_MOGAligned,toxicity_diff,hamming_distance,0.5413540433077629,0.0,0.5689806746678279,0.0,0.29306420020566326,93476,0.0,True,0.0
Strategy4_MOGAligned,toxicity_diff,weighted_hamming,0.4962101409862514,0.0,0.5265435118476283,0.0,0.24622450401759546,93476,0.0,True,0.0
Strategy4_MOGAligned,toxicity_diff,normalized_hamming,0.5413540433077629,0.0,0.5689806746678279,0.0,0.29306420020566326,93476,0.0,True,0.0
Strategy5_VitalPlasticity,persistence_diff,jaccard_offbits,0.3556859609420322,0.0,0.3804992512714363,0.0,0.12651250281125687,93476,0.0,True,0.0
Strategy5_VitalPlasticity,persistence_diff,jaccard_onbits,0.19466721096739636,0.0,0.24384143913233308,0.0,0.0378953230258248,93476,0.0,True,0.0
Strategy5_VitalPlasticity,persistence_diff,jaccard_balanced,0.2708914234807882,0.0,0.318466022847652,0.0,0.07338216331544774,93476,0.0,True,0.0
Strategy5_VitalPlasticity,persistence_diff,hamming_distance,0.32169764520181654,0.0,0.3477816118079994,0.0,0.10348937492839384,93476,0.0,True,0.0
Strategy5_VitalPlasticity,persistence_diff,weighted_hamming,0.3674520509651092,0.0,0.3981196946599932,0.0,0.1350210097584652,93476,0.0,True,0.0
Strategy5_VitalPlasticity,persistence_diff,normalized_hamming,0.32169764520181654,0.0,0.34778161180799944,0.0,0.10348937492839384,93476,0.0,True,0.0
Strategy5_VitalPlasticity,biodegradability_diff,jaccard_offbits,0.3471799584878854,0.0,0.3793816426061894,0.0,0.12053392357564983,93476,0.0,True,0.0
Strategy5_VitalPlasticity,biodegradability_diff,jaccard_onbits,0.1616167706818721,0.0,0.2141628088407641,0.0,0.026119980565636837,93476,0.0,True,0.0
Strategy5_VitalPlasticity,biodegradability_diff,jaccard_balanced,0.24596987999121128,0.0,0.29913028386318635,0.0,0.06050118186289088,93476,0.0,True,0.0
Strategy5_VitalPlasticity,biodegradability_diff,hamming_distance,0.30421522479187,0.0,0.33756848497507574,0.0,0.092546902995168,93476,0.0,True,0.0
Strategy5_VitalPlasticity,biodegradability_diff,weighted_hamming,0.34720827962133777,0.0,0.38277691103139344,0.0,0.12055358943760908,93476,0.0,True,0.0
Strategy5_VitalPlasticity,biodegradability_diff,normalized_hamming,0.30421522479187,0.0,0.33756848497507574,0.0,0.092546902995168,93476,0.0,True,0.0
Strategy5_VitalPlasticity,toxicity_diff,jaccard_offbits,0.15588602911616076,0.0,0.16932637472542733,0.0,0.02430045407360452,93476,0.0,True,0.0
Strategy5_VitalPlasticity,toxicity_diff,jaccard_onbits,0.03342355774210524,1.5872282703561693e-24,0.053833675892766816,5.952974810588205e-61,0.001117134212139843,93476,1.5872282703561693e-24,True,1.7142065319846629e-22
Strategy5_VitalPlasticity,toxicity_diff,jaccard_balanced,0.08695414214929673,2.6471513311059763e-156,0.10698270726708518,5.430609398636969e-236,0.0075610228369201015,93476,2.6970975826362777e-156,True,2.8589234375944544e-154
Strategy5_VitalPlasticity,toxicity_diff,hamming_distance,0.12411178497598496,0.0,0.1385763850277555,0.0,0.015403735169925126,93476,0.0,True,0.0
Strategy5_VitalPlasticity,toxicity_diff,weighted_hamming,0.14906078801258738,0.0,0.16508998855082097,0.0,0.022219118522933512,93476,0.0,True,0.0
Strategy5_VitalPlasticity,toxicity_diff,normalized_hamming,0.12411178497598496,0.0,0.13857638502775552,0.0,0.015403735169925126,93476,0.0,True,0.0
Strategy6_LeechLattice,persistence_diff,jaccard_offbits,0.22051476177426352,0.0,0.20988821105523958,0.0,0.04862676016036019,93476,0.0,True,0.0
Strategy6_LeechLattice,persistence_diff,jaccard_onbits,0.2887539155473085,0.0,0.2941273954468089,0.0,0.08337882374390217,93476,0.0,True,0.0
Strategy6_LeechLattice,persistence_diff,jaccard_balanced,0.29555296282644145,0.0,0.2902236462201094,0.0,0.08735155383548789,93476,0.0,True,0.0
Strategy6_LeechLattice,persistence_diff,hamming_distance,0.29108893254149937,0.0,0.28308406492877736,0.0,0.08473276664814956,93476,0.0,True,0.0
Strategy6_LeechLattice,persistence_diff,weighted_hamming,0.37638565052103024,0.0,0.3632831663386631,0.0,0.1416661579181391,93476,0.0,True,0.0
Strategy6_LeechLattice,persistence_diff,normalized_hamming,0.29108893254149937,0.0,0.28308406492877736,0.0,0.08473276664814956,93476,0.0,True,0.0
Strategy6_LeechLattice,biodegradability_diff,jaccard_offbits,0.23654814729379517,0.0,0.2289740930847016,0.0,0.055955025988127016,93476,0.0,True,0.0
Strategy6_LeechLattice,biodegradability_diff,jaccard_onbits,0.2863634370390866,0.0,0.28781085688807095,0.0,0.08200401807283893,93476,0.0,True,0.0
Strategy6_LeechLattice,biodegradability_diff,jaccard_balanced,0.302586940764622,0.0,0.2973801316633151,0.0,0.09155885672129287,93476,0.0,True,0.0
Strategy6_LeechLattice,biodegradability_diff,hamming_distance,0.3001707010084977,0.0,0.29087390209735897,0.0,0.09010244974393292,93476,0.0,True,0.0
Strategy6_LeechLattice,biodegradability_diff,weighted_hamming,0.3583478054322437,0.0,0.3479671199707453,0.0,0.12841314965810519,93476,0.0,True,0.0
Strategy6_LeechLattice,biodegradability_diff,normalized_hamming,0.3001707010084977,0.0,0.29087390209735897,0.0,0.09010244974393292,93476,0.0,True,0.0
Strategy6_LeechLattice,toxicity_diff,jaccard_offbits,0.21804386555847255,0.0,0.21411403740640483,0.0,0.04754312730768125,93476,0.0,True,0.0
Strategy6_LeechLattice,toxicity_diff,jaccard_onbits,0.25168885058528107,0.0,0.256651930698699,0.0,0.06334727750893994,93476,0.0,True,0.0
Strategy6_LeechLattice,toxicity_diff,jaccard_balanced,0.27209806421628635,0.0,0.27081996680866227,0.0,0.07403735655025029,93476,0.0,True,0.0
Strategy6_LeechLattice,toxicity_diff,hamming_distance,0.27082965580491414,0.0,0.2679097921270881,0.0,0.07334870246340826,93476,0.0,True,0.0
Strategy6_LeechLattice,toxicity_diff,weighted_hamming,0.29660192053911033,0.0,0.2955625380709992,0.0,0.08797269926748871,93476,0.0,True,0.0
Strategy6_LeechLattice,toxicity_diff,normalized_hamming,0.27082965580491414,0.0,0.2679097921270881,0.0,0.07334870246340826,93476,0.0,True,0.0
